Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,2.17B,1.66B,1.49B,1.87B,2.46B
Net Income Growth,-,-23.55%,-9.84%,25.55%,31.06%
"Depreciation, Depletion & Amortization",817.56M,712.02M,630.58M,714.55M,724.85M
Depreciation and Depletion,817.56M,712.02M,630.58M,621.68M,560.54M
Amortization of Intangible Assets,-,-,-,92.87M,164.31M
Deferred Taxes & Investment Tax Credit,(485.97M),454.7M,228.25M,899.17M,602.04M
Deferred Taxes,(485.97M),454.7M,228.25M,899.17M,602.04M
Investment Tax Credit,-,-,-,-,-
Other Funds,(877.52M),(972.61M),(570.2M),(547.31M),(643.44M)
Funds from Operations,1.62B,1.85B,1.78B,2.94B,3.14B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,206.53M,(254.52M),(20.16M),(407.78M),113.96M
Receivables,126.85M,14.72M,49.18M,(25.17M),209.46M
Accounts Payable,(131.4M),(160.95M),46.89M,73.27M,101.03M
Other Assets/Liabilities,(177.55M),(52.6M),145.99M,(356.36M),(79.97M)
Net Operating Cash Flow,1.83B,1.6B,1.76B,2.53B,3.25B
Net Operating Cash Flow Growth,-,-12.65%,10.40%,43.81%,28.46%
Net Operating Cash Flow / Sales,12.69%,11.71%,13.75%,16.35%,18.19%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(5.14B),(393.94M),(593.24M),(1.46B),(1.31B)
Capital Expenditures Growth,-,92.34%,-50.59%,-146.25%,10.44%
Capital Expenditures / Sales,-35.74%,-2.89%,-4.63%,-9.43%,-7.32%
Capital Expenditures (Fixed Assets),(431.8M),(393.94M),(581.08M),(413.3M),(1.19B)
Capital Expenditures (Other Assets),(4.71B),-,(12.16M),(1.05B),(122.66M)
Net Assets from Acquisitions,-,-,-,(1.31B),-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(450.48M),(673.68M),770.11M,42.15M,(2.62B)
Purchase of Investments,(656.75M),(1.4B),(1.03B),(1.9B),(4.69B)
Sale/Maturity of Investments,206.27M,730.21M,1.8B,1.94B,2.07B
Other Uses,-,-,-,(351.17M),(44.03M)
Other Sources,-,-,-,2K,-
Net Investing Cash Flow,(5.57B),(1.05B),183.53M,(3.08B),(3.63B)
Net Investing Cash Flow Growth,-,81.10%,117.44%,"-1,779.48%",-17.85%
Net Investing Cash Flow / Sales,-38.69%,-7.73%,1.43%,-19.89%,-20.31%
