Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,204.1M,345.78M,988.98M,590.64M,695.96M
Net Income Growth,-,69.41%,186.02%,-40.28%,17.83%
"Depreciation, Depletion & Amortization",115.52M,118.72M,122.79M,145.65M,142.31M
Depreciation and Depletion,59.03M,65.39M,69.71M,81.46M,75.09M
Amortization of Intangible Assets,56.5M,53.33M,53.08M,64.19M,67.22M
Deferred Taxes & Investment Tax Credit,79.93M,(11.68M),(576.74M),(26.12M),(43.18M)
Deferred Taxes,79.93M,(11.68M),(576.74M),(26.12M),(43.18M)
Investment Tax Credit,-,-,-,-,-
Other Funds,122.43M,173.89M,188.26M,210.16M,200.08M
Funds from Operations,521.99M,626.71M,723.29M,920.34M,995.16M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(51.25M),(21.96M),6.31M,(15.42M),105.8M
Receivables,(28.41M),(87.08M),(4.72M),(25.93M),2.01M
Accounts Payable,(25.99M),1.55M,33.92M,18.39M,67.36M
Other Assets/Liabilities,(1.89M),62.82M,10.14M,17.81M,75.46M
Net Operating Cash Flow,470.74M,604.75M,729.6M,904.92M,1.1B
Net Operating Cash Flow Growth,-,28.47%,20.64%,24.03%,21.66%
Net Operating Cash Flow / Sales,24.23%,28.29%,31.23%,33.73%,36.84%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(57.9M),(61.5M),(74.61M),(94.81M),(66.88M)
Capital Expenditures Growth,-,-6.22%,-21.30%,-27.09%,29.46%
Capital Expenditures / Sales,-2.98%,-2.88%,-3.19%,-3.53%,-2.24%
Capital Expenditures (Fixed Assets),(57.9M),(61.5M),(74.61M),(94.81M),(65.3M)
Capital Expenditures (Other Assets),-,-,-,-,(1.58M)
Net Assets from Acquisitions,(143.25M),-,(338K),(197.56M),(226.2M)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,9.94M,(112.34M),(30.77M),217K,128K
Purchase of Investments,-,(115.84M),(33.72M),-,-
Sale/Maturity of Investments,9.94M,3.5M,2.95M,217K,128K
Other Uses,-,-,-,-,-
Other Sources,3.87M,-,-,-,-
Net Investing Cash Flow,(191.21M),(173.85M),(105.71M),(292.16M),(292.95M)
Net Investing Cash Flow Growth,-,9.08%,39.19%,-176.38%,-0.27%
Net Investing Cash Flow / Sales,-9.84%,-8.13%,-4.52%,-10.89%,-9.80%
