Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,410.57M,425.52M,377.78M,449.3M,586.7M
Net Income Growth,-,3.64%,-11.22%,18.93%,30.58%
"Depreciation, Depletion & Amortization",77.54M,76.88M,83.5M,103M,119.7M
Depreciation and Depletion,39.05M,39.54M,41.65M,46.6M,50.7M
Amortization of Intangible Assets,38.5M,37.33M,41.84M,56.4M,69M
Deferred Taxes & Investment Tax Credit,(4.35M),6.63M,8.24M,(6.1M),(18.5M)
Deferred Taxes,(4.35M),6.63M,8.24M,(6.1M),(18.5M)
Investment Tax Credit,-,-,-,-,-
Other Funds,33.51M,45.66M,29.45M,34.8M,2.4M
Funds from Operations,517.28M,554.68M,498.96M,581M,690.3M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(37.93M),(26.62M),70.43M,(15.7M),(132.9M)
Receivables,(23.42M),22.34M,20.87M,(49.4M),(71.7M)
Accounts Payable,(1.22M),(9.12M),2.7M,22.9M,17.6M
Other Assets/Liabilities,5.59M,563K,25.66M,31.1M,(23M)
Net Operating Cash Flow,479.35M,528.06M,569.39M,565.3M,557.4M
Net Operating Cash Flow Growth,-,10.16%,7.83%,-0.72%,-1.40%
Net Operating Cash Flow / Sales,19.30%,21.17%,24.21%,20.45%,17.52%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(60.09M),(50.91M),(51.55M),(72.7M),(68M)
Capital Expenditures Growth,-,15.27%,-1.24%,-41.04%,6.46%
Capital Expenditures / Sales,-2.42%,-2.04%,-2.19%,-2.63%,-2.14%
Capital Expenditures (Fixed Assets),(56.09M),(50.91M),(51.55M),(72.7M),(68M)
Capital Expenditures (Other Assets),(4M),-,-,-,-
Net Assets from Acquisitions,(20.21M),(87.18M),(123.13M),(577.4M),(945.6M)
Sale of Fixed Assets & Businesses,363K,962K,2.29M,-,58.3M
Purchase/Sale of Investments,-,-,-,(45.2M),39.7M
Purchase of Investments,-,-,-,(45.2M),-
Sale/Maturity of Investments,-,-,-,-,39.7M
Other Uses,(1.5M),-,(306K),(4.2M),(3M)
Other Sources,6.59M,-,-,-,500K
Net Investing Cash Flow,(81.43M),(137.02M),(172.7M),(698.1M),(917.2M)
Net Investing Cash Flow Growth,-,-68.26%,-26.04%,-304.23%,-31.39%
Net Investing Cash Flow / Sales,-3.28%,-5.49%,-7.34%,-25.25%,-28.83%
