Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,3.8B,3.61B,3.44B,(9.98B),11B
Net Income Growth,-,-5.21%,-4.52%,-389.78%,210.26%
"Depreciation, Depletion & Amortization",2.11B,2.49B,3.23B,3.38B,3.31B
Depreciation and Depletion,2.06B,2.36B,2.87B,3.04B,2.98B
Amortization of Intangible Assets,52M,134M,357M,336M,330M
Deferred Taxes & Investment Tax Credit,(1.23B),47M,807M,(241M),(169M)
Deferred Taxes,(1.23B),47M,807M,(241M),(169M)
Investment Tax Credit,-,-,-,-,-
Other Funds,302M,221M,1.25B,8.8B,(10.56B)
Funds from Operations,4.99B,6.36B,8.72B,1.96B,3.58B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,1.63B,(206M),720M,460M,778M
Receivables,(1.09B),1.59B,(1.72B),1.47B,(5.3B)
Accounts Payable,2.81B,(2.8B),2.45B,(2.93B),6.26B
Other Assets/Liabilities,(202M),72M,346M,172M,(150M)
Net Operating Cash Flow,6.61B,6.16B,9.44B,2.42B,4.36B
Net Operating Cash Flow Growth,-,-6.87%,53.31%,-74.38%,80.24%
Net Operating Cash Flow / Sales,8.86%,6.41%,8.55%,3.50%,3.64%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(2.73B),(3.58B),(4.81B),(2.79B),(1.46B)
Capital Expenditures Growth,-,-30.97%,-34.43%,42.06%,47.47%
Capital Expenditures / Sales,-3.66%,-3.72%,-4.35%,-4.03%,-1.22%
Capital Expenditures (Fixed Assets),(2.73B),(3.58B),(4.81B),(2.79B),(1.46B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(249M),(3.82B),(129M),-,(630M)
Sale of Fixed Assets & Businesses,208M,66M,144M,150M,153M
Purchase/Sale of Investments,(743M),(393M),(966M),(348M),(5.72B)
Purchase of Investments,(805M),(409M),(1.06B),(485M),(12.71B)
Sale/Maturity of Investments,62M,16M,98M,137M,6.99B
Other Uses,-,-,(484M),(335M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(3.27B),(7.66B),(6.16B),(3.26B),14.17B
Net Investing Cash Flow Growth,-,-134.26%,19.51%,47.16%,534.97%
Net Investing Cash Flow / Sales,-4.38%,-7.97%,-5.58%,-4.71%,11.83%
