Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,3.55B,6.51B,5.46B,5.74B,3.92B
Cash & Short Term Investments Growth,-,83.48%,-16.14%,5.09%,-31.64%
Cash Only,2.96B,6.07B,5B,5.26B,3.33B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.56%,26.59%,21.14%,22.56%,15.41%
Total Accounts Receivable,4.96B,3.99B,5.15B,4.58B,5.06B
Total Accounts Receivable Growth,-,-19.45%,29.11%,-11.16%,10.42%
"Accounts Receivables, Net",-,3.99B,5.15B,4.58B,5.06B
"Accounts Receivables, Gross",-,4.02B,5.18B,4.61B,5.09B
Bad Debt/Doubtful Accounts,-,(29M),(29M),(29M),(29M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.32,1.55,1.19,1.37,1.23
Inventories,5.51B,4.12B,4.31B,4.53B,5.01B
Finished Goods,-,1.06B,1.05B,973M,1.12B
Work in Progress,-,846M,873M,974M,1.02B
Raw Materials,-,956M,1.14B,1.35B,1.59B
Progress Payments & Other,-,1.26B,1.25B,1.23B,1.29B
Other Current Assets,-,629M,1.19B,865M,1.26B
Miscellaneous Current Assets,-,629M,1.19B,865M,1.26B
Total Current Assets,15.43B,15.25B,16.11B,15.71B,15.24B
"Net Property, Plant & Equipment",2.19B,2.08B,2.23B,2.27B,2.46B
"Property, Plant & Equipment - Gross",-,5.09B,5.27B,5.4B,5.67B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,3.02B,3.05B,3.13B,3.21B
Total Investments and Advances,-,1.66B,2.06B,2.03B,2.1B
Other Long-Term Investments,-,1.66B,2.06B,2.03B,2.1B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.05B,3.6B,3.58B,3.57B,3.56B
Net Goodwill,-,3.48B,3.48B,3.48B,3.48B
Net Other Intangibles,-,116M,104M,-,-
Other Assets,-,248M,229M,262M,588M
Total Assets,26.16B,24.48B,25.83B,25.43B,25.46B
Total Assets Growth,-,-6.43%,5.50%,-1.54%,0.12%
