Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,13.48B,13.7B,15.1B,13.47B,13B
Cash & Short Term Investments Growth,-,1.63%,10.28%,-10.83%,-3.49%
Cash Only,9.89B,10.72B,10.75B,8.7B,8.57B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,35.71%,36.12%,38.81%,34.91%,32.23%
Total Accounts Receivable,4.46B,4.34B,3.75B,3.83B,4.67B
Total Accounts Receivable Growth,-,-2.73%,-13.71%,2.16%,21.95%
"Accounts Receivables, Net",4.46B,4.34B,3.75B,3.83B,4.67B
"Accounts Receivables, Gross",4.56B,4.34B,3.75B,3.83B,4.7B
Bad Debt/Doubtful Accounts,(93M),-,-,-,(34M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.77,2.83,3.04,2.85,2.63
Inventories,6.85B,6.7B,6.51B,7.7B,8.42B
Finished Goods,6.85B,6.7B,6.51B,7.7B,8.42B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.5B,1.66B,1.82B,1.97B,2.13B
Miscellaneous Current Assets,1.16B,1.66B,1.82B,1.97B,1.8B
Total Current Assets,26.29B,26.39B,27.18B,26.96B,28.21B
"Net Property, Plant & Equipment",8.02B,7.95B,7.83B,7.77B,7.72B
"Property, Plant & Equipment - Gross",13.17B,-,-,-,13.02B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,1.39B,-,-,-,1.62B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,5.16B,-,-,-,5.31B
Total Investments and Advances,16M,69M,102M,68M,206M
Other Long-Term Investments,16M,69M,102M,68M,206M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,511M,509M,507M,575M,570M
Net Goodwill,242M,242M,242M,284M,284M
Net Other Intangibles,269M,267M,-,-,-
Other Assets,2.91B,3B,3.3B,3.21B,3.62B
Total Assets,37.74B,37.92B,38.92B,38.58B,40.32B
Total Assets Growth,-,0.47%,2.64%,-0.87%,4.52%
