Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,12.8B,19.78B,19.3B,21.21B,20.34B
Cash & Short Term Investments Growth,-,54.55%,-2.45%,9.90%,-4.10%
Cash Only,978M,5.63B,1.29B,1.99B,3.89B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,41.56%,51.18%,47.49%,48.00%,44.98%
Total Accounts Receivable,3.02B,3.59B,3.95B,4.65B,5.44B
Total Accounts Receivable Growth,-,18.58%,10.26%,17.60%,16.95%
"Accounts Receivables, Net",3.02B,3.59B,3.95B,4.65B,5.44B
"Accounts Receivables, Gross",3.02B,3.59B,3.95B,4.65B,5.44B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.87,1.81,1.80,1.64,1.52
Inventories,1.99B,2.11B,2.23B,2.61B,3.16B
Finished Goods,754M,736M,940M,1.12B,1.37B
Work in Progress,504M,553M,538M,692M,672M
Raw Materials,734M,825M,755M,791M,1.12B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,311M,324M,321M,366M,636M
Miscellaneous Current Assets,132M,129M,321M,366M,636M
Total Current Assets,18.13B,25.81B,25.81B,28.83B,29.58B
"Net Property, Plant & Equipment",3B,3.17B,3.34B,3.61B,3.77B
"Property, Plant & Equipment - Gross",-,-,-,5.51B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,2.85B,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,1.9B,-
Total Investments and Advances,146M,147M,308M,266M,285M
Other Long-Term Investments,146M,147M,308M,266M,285M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.81B,6.67B,6.76B,6.69B,6.58B
Net Goodwill,4.19B,4.19B,4.3B,4.35B,4.37B
Net Other Intangibles,2.61B,2.48B,2.45B,-,-
Other Assets,1.94B,1.9B,3.45B,3.58B,3.22B
Total Assets,30.8B,38.65B,40.63B,44.19B,45.21B
Total Assets Growth,-,25.50%,5.13%,8.75%,2.32%
