Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.31B,2.4B,2.06B,3.34B,2.77B
Cash & Short Term Investments Growth,-,-27.26%,-14.52%,62.29%,-16.82%
Cash Only,3.28B,2.39B,2.05B,3.32B,2.76B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.08%,4.46%,3.85%,6.09%,5.21%
Total Accounts Receivable,2.08B,2.5B,2.18B,2.3B,2.22B
Total Accounts Receivable Growth,-,20.16%,-12.82%,5.79%,-3.69%
"Accounts Receivables, Net",2.08B,2.5B,2.18B,2.3B,2.22B
"Accounts Receivables, Gross",2.08B,2.57B,2.18B,2.3B,2.22B
Bad Debt/Doubtful Accounts,-,(76M),-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.35,2.06,2.29,2.18,2.09
Inventories,2.95B,2.87B,3.04B,3.26B,3.16B
Finished Goods,1.92B,1.82B,1.94B,2.14B,2.03B
Work in Progress,388M,402M,393M,413M,407M
Raw Materials,636M,641M,699M,708M,726M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.21B,1.07B,1.04B,1.26B,1.39B
Miscellaneous Current Assets,1.21B,1.07B,1.04B,1.26B,1.39B
Total Current Assets,9.54B,8.84B,8.31B,10.15B,9.55B
"Net Property, Plant & Equipment",6.16B,6.84B,6.38B,6.41B,6.01B
"Property, Plant & Equipment - Gross",12.65B,13.39B,13.03B,13.19B,12.4B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,6.49B,6.55B,6.65B,6.79B,6.4B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,36.81B,36.68B,36.73B,36.36B,35.86B
Net Goodwill,23.81B,23.9B,24.12B,24.1B,23.97B
Net Other Intangibles,13B,-,-,-,-
Other Assets,1.82B,162M,1.95B,1.87B,1.79B
Total Assets,54.33B,53.87B,53.36B,54.79B,53.2B
Total Assets Growth,-,-0.86%,-0.93%,2.67%,-2.90%
