Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,232.13M,145.2M,144.45M,204.62M,114.36M
Cash & Short Term Investments Growth,-,-37.45%,-0.52%,41.65%,-44.11%
Cash Only,232.13M,145.2M,144.45M,204.62M,114.36M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.62%,6.09%,5.93%,7.89%,4.39%
Total Accounts Receivable,427.39M,425.03M,425.58M,465.62M,473.12M
Total Accounts Receivable Growth,-,-0.55%,0.13%,9.41%,1.61%
"Accounts Receivables, Net",410M,408.21M,406.12M,443.87M,453.26M
"Accounts Receivables, Gross",416.4M,414.71M,411.79M,451.17M,453.26M
Bad Debt/Doubtful Accounts,(6.4M),(6.5M),(5.67M),(7.3M),-
Other Receivable,17.38M,16.82M,-,-,-
Accounts Receivable Turnover,1.93,1.91,1.88,1.80,1.82
Inventories,241.39M,258.48M,269.03M,301.64M,332.57M
Finished Goods,157.17M,174.26M,182.21M,200.74M,216.53M
Work in Progress,25.1M,24.62M,26.4M,27.3M,30.74M
Raw Materials,59.12M,59.61M,60.43M,73.6M,85.3M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,47.22M,54.86M,61.17M,62.75M,66.62M
Miscellaneous Current Assets,13.99M,17.39M,19.17M,21.82M,30.33M
Total Current Assets,948.13M,883.57M,900.24M,1.03B,986.66M
"Net Property, Plant & Equipment",654.98M,680.35M,692.77M,701.19M,709.69M
"Property, Plant & Equipment - Gross",-,-,1.34B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,276.9M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,648.39M,-,-
Total Investments and Advances,11.27M,14.03M,17.6M,17.58M,64.07M
Other Long-Term Investments,11.27M,14.03M,17.6M,17.58M,33.82M
Long-Term Note Receivables,106.96M,114.67M,122.16M,131.01M,139.14M
Intangible Assets,450.6M,450.22M,458.38M,466.16M,456.12M
Net Goodwill,353.84M,355.24M,359.35M,360.97M,355.53M
Net Other Intangibles,96.76M,94.98M,-,-,-
Other Assets,213.44M,218.05M,221.27M,219.04M,210.96M
Total Assets,2.41B,2.39B,2.44B,2.59B,2.61B
Total Assets Growth,-,-1.09%,2.16%,6.38%,0.56%
