Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,15.2B,15.65B,12.93B,14.14B,14.41B
Cash Growth,-,3.01%,-17.37%,9.29%,1.97%
Total Investment Assets,525.54B,488.79B,492.2B,460.34B,418.4B
Investments Growth,-,-6.99%,0.70%,-6.47%,-9.11%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,1.87B,1.75B,1.79B,1.82B,1.59B
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,20.04B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,-,-,-,-,-
Premium Balance Growth,-,-,-,-,-
"Net Property, Plant & Equipment",-,-,395M,-,-
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),385.72B,428.14B,432.05B,403.59B,262.09B
Separate & Variable Account Assets,340.69B,241.85B,246.15B,229.62B,205.61B
Deferred Charges,19.03B,18.07B,21.94B,18.48B,18.63B
Tangible Other Assets,26B,168.22B,163.97B,155.49B,37.85B
Intangible Assets,-,-,-,-,-
Total Assets,926.46B,932.58B,937.58B,878.07B,695.6B
Assets - Total - 1 Year Growth,-,0.66%,0.54%,-6.35%,-20.78%
Return On Average Assets,-,-,-,-,0.81%
