Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,1.42B,1.27B,4.27B,2.03B,4.54B
Cash & Short Term Investments Growth,-,-10.63%,236.06%,-52.51%,123.98%
Cash Only,1.42B,1.27B,4.27B,2.03B,2.37B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.55%,1.56%,4.42%,2.19%,4.89%
Total Accounts Receivable,5.15B,5.66B,5.96B,5.33B,5.03B
Total Accounts Receivable Growth,-,9.90%,5.24%,-10.60%,-5.52%
"Accounts Receivables, Net",5.15B,5.66B,5.96B,5.33B,5.03B
"Accounts Receivables, Gross",5.15B,5.72B,5.96B,5.33B,5.03B
Bad Debt/Doubtful Accounts,-,(53M),-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,6.60,6.05,5.69,6.34,6.48
Inventories,8.33B,8.16B,9.48B,8.95B,8.52B
Finished Goods,8.33B,8.16B,9.48B,8.95B,8.52B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,11.7B,722M,612M,522M,777M
Miscellaneous Current Assets,11.7B,722M,612M,522M,777M
Total Current Assets,26.61B,15.81B,20.31B,16.82B,18.87B
"Net Property, Plant & Equipment",34.32B,34.14B,34.12B,33.94B,33.16B
"Property, Plant & Equipment - Gross",-,47.21B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,3.62B,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,13.07B,-,-,-
Total Investments and Advances,6.78B,7.49B,6.37B,6.25B,5.78B
Other Long-Term Investments,5M,501M,-,1M,6M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,22.93B,22.36B,34.29B,34.31B,33.48B
Net Goodwill,12.49B,12.42B,21.52B,21.96B,21.9B
Net Other Intangibles,10.44B,9.94B,-,-,-
Other Assets,1.28B,1.49B,1.41B,1.37B,1.46B
Total Assets,91.92B,81.29B,96.51B,92.68B,92.76B
Total Assets Growth,-,-11.57%,18.73%,-3.96%,0.08%
