Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,5.08B,8.21B,8.75B,5.21B,4.56B
Cash & Short Term Investments Growth,-,61.62%,6.56%,-40.46%,-12.43%
Cash Only,4.36B,7.52B,8.02B,4.47B,3.88B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.85%,10.17%,10.40%,6.54%,5.42%
Total Accounts Receivable,8.7B,6.97B,5.97B,6.79B,8.56B
Total Accounts Receivable Growth,-,-19.84%,-14.30%,13.69%,26.11%
"Accounts Receivables, Net",-,5.27B,4.21B,4.86B,6.26B
"Accounts Receivables, Gross",-,5.27B,4.21B,4.86B,6.26B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,1.7B,-,-,-
Accounts Receivable Turnover,1.62,1.65,1.89,1.41,1.56
Inventories,9.12B,6.41B,6.78B,7.94B,9.03B
Finished Goods,-,4.18B,4.37B,4.79B,5.43B
Work in Progress,-,1.12B,994M,1.46B,1.64B
Raw Materials,-,2.9B,3.52B,4.03B,4.38B
Progress Payments & Other,-,(1.79B),(2.11B),(2.35B),(2.43B)
Other Current Assets,-,-,-,-,-
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,22.89B,21.59B,21.5B,19.93B,22.15B
"Net Property, Plant & Equipment",12.22B,12.94B,13.1B,12.57B,12.18B
"Property, Plant & Equipment - Gross",-,-,23.4B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,10.3B,-,-
Total Investments and Advances,-,308M,283M,273M,-
Other Long-Term Investments,-,120M,108M,97M,-
Long-Term Note Receivables,40.2B,36.85B,38.46B,36.71B,38.16B
Intangible Assets,5.04B,4.42B,4.85B,4.4B,5.16B
Net Goodwill,-,3.15B,3.29B,3.19B,3.81B
Net Other Intangibles,-,1.27B,-,-,-
Other Assets,-,2.82B,4.89B,4.81B,5.34B
Total Assets,86.82B,80.69B,84.11B,79.61B,84.1B
Total Assets Growth,-,-7.06%,4.25%,-5.35%,5.63%
