Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,10.82B,10.6B,10.67B,11.22B,10.57B
Cash & Short Term Investments Growth,-,-2.05%,0.70%,5.17%,-5.77%
Cash Only,3.59B,3B,2.9B,3.48B,3.71B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,11.62%,11.54%,11.63%,12.22%,11.62%
Total Accounts Receivable,5.46B,5.43B,5.49B,5.45B,5.55B
Total Accounts Receivable Growth,-,-0.57%,1.14%,-0.86%,1.93%
"Accounts Receivables, Net",5.46B,5.43B,5.49B,5.45B,5.55B
"Accounts Receivables, Gross",5.7B,5.69B,5.75B,5.7B,5.78B
Bad Debt/Doubtful Accounts,(241M),(257M),(255M),(253M),(230M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.50,1.47,1.43,1.43,1.46
Inventories,4.31B,4.29B,4.35B,4.51B,4.62B
Finished Goods,2.91B,2.88B,2.91B,3B,3.07B
Work in Progress,611M,602M,622M,687M,682M
Raw Materials,796M,802M,819M,830M,864M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.96B,2.12B,2.22B,2.12B,2.32B
Miscellaneous Current Assets,1.96B,2.12B,2.22B,2.12B,2.32B
Total Current Assets,22.55B,22.43B,22.73B,23.3B,23.06B
"Net Property, Plant & Equipment",6.22B,5.16B,5.19B,5.25B,6.27B
"Property, Plant & Equipment - Gross",13.7B,12.81B,12.98B,13.07B,14.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,2.35B,-,-,-,2.62B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,7.48B,7.65B,7.79B,7.82B,7.95B
Total Investments and Advances,709M,734M,856M,911M,1.05B
Other Long-Term Investments,709M,734M,856M,911M,1.05B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,59.7B,58.61B,58.14B,57.42B,56.1B
Net Goodwill,41.96B,41.72B,41.61B,41.35B,40.5B
Net Other Intangibles,17.74B,16.89B,-,-,-
Other Assets,737M,1.68B,1.64B,1.61B,1.11B
Total Assets,93.08B,91.8B,91.76B,91.8B,90.98B
Total Assets Growth,-,-1.38%,-0.05%,0.05%,-0.90%
