Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.7B,11.01B,4.02B,3.09B,3.18B
Cash & Short Term Investments Growth,-,134.16%,-63.53%,-23.01%,2.85%
Cash Only,4.7B,11.01B,4.02B,3.09B,3.18B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.35%,3.11%,1.10%,0.85%,0.86%
Total Accounts Receivable,22.03B,22.9B,24.59B,24.34B,24.61B
Total Accounts Receivable Growth,-,3.94%,7.38%,-1.02%,1.11%
"Accounts Receivables, Net",22.23B,22.9B,24.59B,24.34B,24.61B
"Accounts Receivables, Gross",23.21B,23.87B,25.48B,25.19B,25.44B
Bad Debt/Doubtful Accounts,(980M),(970M),(896M),(859M),(831M)
Other Receivable,(200M),-,-,-,-
Accounts Receivable Turnover,1.53,1.44,1.39,1.38,1.37
Inventories,1.42B,2.3B,3.06B,3.66B,3.65B
Finished Goods,-,-,3.06B,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,5.07B,1.7B,2.64B,2.04B,3.56B
Miscellaneous Current Assets,5.07B,1.7B,1.55B,2.04B,3.56B
Total Current Assets,33.23B,37.91B,34.3B,33.13B,34.99B
"Net Property, Plant & Equipment",122.38B,123.73B,127.58B,127.34B,128.41B
"Property, Plant & Equipment - Gross",311.83B,315.39B,317.78B,320.06B,323.8B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,189.45B,191.67B,190.2B,192.73B,195.39B
Total Investments and Advances,2.47B,2.55B,2.46B,1.96B,1.69B
Other Long-Term Investments,1.91B,1.45B,1.4B,882M,573M
Long-Term Note Receivables,200M,177M,7.6B,8.15B,9.33B
Intangible Assets,175.86B,177.68B,187.9B,188.14B,188.65B
Net Goodwill,24.92B,24.89B,28.6B,28.63B,28.64B
Net Other Intangibles,150.95B,152.79B,-,-,-
Other Assets,15.06B,11.42B,6.76B,7B,7.09B
Total Assets,349.19B,353.46B,366.6B,365.72B,370.15B
Total Assets Growth,-,1.22%,3.72%,-0.24%,1.21%
