Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,581.4M,1.65B,671.8M,934M,813.2M
Cash & Short Term Investments Growth,-,182.95%,-59.16%,39.03%,-12.93%
Cash Only,359.7M,1.43B,451.4M,725.5M,621.2M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.69%,1.91%,0.74%,1.04%,0.89%
Total Accounts Receivable,2.07B,2.05B,1.94B,1.94B,2.35B
Total Accounts Receivable Growth,-,-1.13%,-5.31%,-0.26%,21.31%
"Accounts Receivables, Net",2.01B,2B,1.91B,1.88B,2.29B
"Accounts Receivables, Gross",2.06B,2.05B,1.96B,1.94B,2.35B
Bad Debt/Doubtful Accounts,(50.3M),(51.7M),(55.6M),(54.4M),(53.4M)
Other Receivable,66.6M,50.5M,-,-,-
Accounts Receivable Turnover,1.84,2.19,2.08,2.29,1.92
Inventories,1.19B,978.5M,989.2M,966.8M,1.1B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,1.19B,978.5M,989.2M,966.8M,1.1B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,762.2M,1.11B,4.21B,4.43B,5.11B
Miscellaneous Current Assets,762.2M,1.11B,4.21B,4.43B,5.11B
Total Current Assets,4.61B,5.79B,7.81B,8.27B,9.37B
"Net Property, Plant & Equipment",66.46B,67.47B,66.58B,68.52B,69.34B
"Property, Plant & Equipment - Gross",87.85B,89.35B,87.38B,89.82B,91.1B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,21.39B,21.88B,20.81B,21.3B,21.76B
Total Investments and Advances,4.46B,4.47B,5.09B,4.47B,3.95B
Other Long-Term Investments,4.46B,4.47B,4.69B,4.47B,3.95B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,52.5M,52.5M,52.5M,52.5M,52.5M
Net Goodwill,52.5M,52.5M,52.5M,52.5M,52.5M
Net Other Intangibles,-,-,-,-,-
Other Assets,8.78B,8.56B,8.14B,8.52B,8.15B
Total Assets,84.36B,86.34B,90.95B,89.83B,90.86B
Total Assets Growth,-,2.35%,5.34%,-1.23%,1.15%
