Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.39B,4.43B,5.32B,4.02B,3.33B
Cash & Short Term Investments Growth,-,0.98%,19.99%,-24.42%,-17.25%
Cash Only,4.39B,4.43B,5.32B,3.93B,3.21B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.10%,17.32%,18.71%,15.37%,13.35%
Total Accounts Receivable,8.36B,8.44B,9.67B,8.39B,8.28B
Total Accounts Receivable Growth,-,0.86%,14.67%,-13.28%,-1.30%
"Accounts Receivables, Net",8.36B,8.44B,9.67B,8.39B,8.28B
"Accounts Receivables, Gross",8.39B,8.46B,9.7B,8.41B,8.3B
Bad Debt/Doubtful Accounts,(25.5M),(20.8M),(21.7M),(21M),(18.4M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,0.43,0.41,0.40,0.41,0.43
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,906M,896M,919.2M,990.9M,891.8M
Miscellaneous Current Assets,906M,896M,919.2M,990.9M,891.8M
Total Current Assets,13.66B,13.76B,15.91B,13.4B,12.5B
"Net Property, Plant & Equipment",1.69B,1.64B,2.2B,2.17B,2.09B
"Property, Plant & Equipment - Gross",2.86B,2.81B,3.36B,3.35B,3.26B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.17B,1.17B,1.17B,1.18B,1.16B
Total Investments and Advances,79.1M,77.8M,83.9M,77.6M,69.6M
Other Long-Term Investments,-,-,1.1M,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,10B,9.88B,10.04B,10.28B,10.03B
Net Goodwill,9.72B,9.6B,9.74B,9.95B,9.7B
Net Other Intangibles,277.9M,278.1M,-,-,-
Other Assets,224.3M,217.5M,196.8M,210.8M,213.6M
Total Assets,25.65B,25.58B,28.42B,26.15B,24.91B
Total Assets Growth,-,-0.29%,11.11%,-8.01%,-4.74%
