Item,30-Jun-2021,31-Aug-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,5.78B,6.85B,5.99B,6.9B,5.69B
Cash & Short Term Investments Growth,-,18.57%,-12.58%,15.30%,-17.56%
Cash Only,5.45B,6.51B,5.6B,6.56B,5.41B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.25%,7.35%,6.48%,7.43%,6.11%
Total Accounts Receivable,9.72B,9.55B,8.68B,9.42B,10.5B
Total Accounts Receivable Growth,-,-1.82%,-9.06%,8.57%,11.40%
"Accounts Receivables, Net",9.72B,9.55B,7.03B,9.42B,10.5B
"Accounts Receivables, Gross",9.89B,9.71B,7.17B,9.62B,10.68B
Bad Debt/Doubtful Accounts,(170M),(165M),(147M),(192M),(185M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.98,2.11,2.91,1.72,1.93
Inventories,5.01B,4.36B,4.35B,4.76B,5.29B
Finished Goods,2.54B,2.26B,2.3B,2.59B,2.73B
Work in Progress,381M,178M,151M,154M,158M
Raw Materials,2.08B,1.93B,1.9B,2.02B,2.4B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.09B,2.95B,2.72B,1.25B,1.16B
Miscellaneous Current Assets,1.09B,2.95B,2.72B,1.25B,1.16B
Total Current Assets,21.6B,23.71B,21.73B,22.34B,22.63B
"Net Property, Plant & Equipment",21.62B,21.26B,24.43B,22.02B,22.69B
"Property, Plant & Equipment - Gross",47.4B,45.69B,48.85B,46.53B,47.9B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,25.79B,24.43B,24.42B,24.52B,25.21B
Total Investments and Advances,2.77B,2.79B,2.63B,3.6B,3.52B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,111M,-,-
Intangible Assets,38.32B,37.41B,37.05B,36.21B,35.64B
Net Goodwill,18.89B,18.53B,18.38B,18.11B,18.55B
Net Other Intangibles,19.42B,18.88B,-,-,-
Other Assets,3.71B,3.73B,2.13B,4.5B,4.27B
Total Assets,92.39B,93.25B,92.38B,92.96B,93.1B
Total Assets Growth,-,0.94%,-0.94%,0.63%,0.15%
