Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,783.5M,789.7M,621.9M,428.6M,525M
Cash & Short Term Investments Growth,-,0.79%,-21.25%,-31.08%,22.49%
Cash Only,783.5M,789.7M,621.9M,428.6M,525M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.61%,18.91%,14.97%,10.45%,12.68%
Total Accounts Receivable,366.9M,401.3M,423.2M,430.6M,447.3M
Total Accounts Receivable Growth,-,9.38%,5.46%,1.75%,3.88%
"Accounts Receivables, Net",366.9M,401.3M,423.2M,430.6M,447.3M
"Accounts Receivables, Gross",367.8M,402.4M,424.3M,431.7M,448.4M
Bad Debt/Doubtful Accounts,(900K),(1.1M),(1.1M),(1.1M),(1.1M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.75,2.45,2.38,2.22,2.58
Inventories,513.5M,469.2M,613.9M,634.5M,602.5M
Finished Goods,377.8M,352.9M,361.1M,447.2M,426.5M
Work in Progress,-,-,-,-,-
Raw Materials,135.7M,116.3M,252.8M,187.3M,147.9M
Progress Payments & Other,-,-,-,-,28.1M
Other Current Assets,117.8M,74.8M,58.8M,117M,84.8M
Miscellaneous Current Assets,117.8M,74.8M,58.8M,117M,84.8M
Total Current Assets,1.78B,1.74B,1.72B,1.61B,1.66B
"Net Property, Plant & Equipment",1.67B,1.7B,1.7B,1.68B,1.7B
"Property, Plant & Equipment - Gross",3.23B,3.3B,3.34B,3.36B,3.4B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.57B,1.6B,1.64B,1.67B,1.7B
Total Investments and Advances,310.2M,298.8M,294.7M,312.8M,257.4M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,20.5M
Intangible Assets,371.4M,359.3M,353.6M,356.3M,351.7M
Net Goodwill,334.5M,323.5M,318.6M,321.8M,318M
Net Other Intangibles,36.9M,35.8M,-,-,-
Other Assets,78.2M,82.4M,85.4M,136.7M,149.7M
Total Assets,4.21B,4.18B,4.16B,4.1B,4.14B
Total Assets Growth,-,-0.79%,-0.50%,-1.32%,0.95%
