Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.94B,2.27B,3.45B,2.98B,1.52B
Cash & Short Term Investments Growth,-,-42.32%,51.56%,-13.53%,-49.01%
Cash Only,3.94B,2.27B,3.45B,2.98B,1.52B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.06%,2.40%,3.69%,3.17%,1.66%
Total Accounts Receivable,2.01B,1.96B,1.96B,2.07B,2.15B
Total Accounts Receivable Growth,-,-2.49%,-0.05%,5.62%,3.77%
"Accounts Receivables, Net",2.01B,1.96B,1.96B,2.07B,2.15B
"Accounts Receivables, Gross",2.05B,2B,2.01B,2.12B,2.19B
Bad Debt/Doubtful Accounts,(44M),(45M),(48M),(50M),(49M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.29,3.23,3.43,2.92,3.06
Inventories,2.82B,2.84B,2.73B,3.09B,3.43B
Finished Goods,1.82B,1.79B,1.68B,1.94B,2.16B
Work in Progress,246M,268M,268M,270M,262M
Raw Materials,757M,779M,779M,882M,1.01B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,2.62B,2.49B,863M,1.14B,1.04B
Miscellaneous Current Assets,2.47B,2.33B,727M,957M,850M
Total Current Assets,11.39B,9.56B,8.99B,9.28B,8.14B
"Net Property, Plant & Equipment",6.61B,6.59B,7.38B,6.6B,6.57B
"Property, Plant & Equipment - Gross",-,-,11.24B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,3.87B,-,-
Total Investments and Advances,269M,209M,182M,269M,299M
Other Long-Term Investments,269M,209M,182M,269M,299M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,76.42B,76.19B,74.84B,75.08B,74.14B
Net Goodwill,31.48B,31.39B,31.3B,31.44B,31.18B
Net Other Intangibles,44.94B,44.8B,-,-,-
Other Assets,2.36B,2.35B,2.01B,2.64B,2.54B
Total Assets,97.04B,94.9B,93.39B,93.86B,91.68B
Total Assets Growth,-,-2.21%,-1.58%,0.50%,-2.33%
