Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.41B,2.46B,3.16B,2.36B,4.72B
Cash & Short Term Investments Growth,-,-27.71%,28.34%,-25.47%,100.21%
Cash Only,3.41B,2.46B,3.16B,2.36B,4.72B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.66%,5.73%,7.24%,5.59%,10.75%
Total Accounts Receivable,9.11B,9.31B,9.41B,10.25B,10.57B
Total Accounts Receivable Growth,-,2.14%,1.09%,8.97%,3.15%
"Accounts Receivables, Net",9.11B,9.31B,9.41B,10.25B,10.57B
"Accounts Receivables, Gross",9.35B,9.31B,9.41B,10.25B,10.85B
Bad Debt/Doubtful Accounts,(242M),-,-,-,(281M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.67,4.73,4.83,4.37,4.46
Inventories,14.59B,14.72B,14.94B,15.49B,15.64B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,3.94B,3.24B,4.34B,2.79B,2.01B
Miscellaneous Current Assets,3.94B,3.24B,4.34B,2.79B,2.01B
Total Current Assets,31.05B,29.73B,31.85B,30.88B,32.94B
"Net Property, Plant & Equipment",2.82B,2.34B,2.32B,2.3B,2.82B
"Property, Plant & Equipment - Gross",6.05B,-,-,-,6.34B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,1.56B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.23B,-,-,-,3.52B
Total Investments and Advances,-,-,-,-,25M
Other Long-Term Investments,-,-,-,-,25M
Long-Term Note Receivables,68M,84M,75M,73M,52M
Intangible Assets,10.09B,10.01B,8.6B,8.02B,7.63B
Net Goodwill,7.99B,7.98B,6.66B,6.17B,5.86B
Net Other Intangibles,2.11B,2.03B,-,-,-
Other Assets,371M,837M,838M,834M,383M
Total Assets,44.45B,42.99B,43.68B,42.11B,43.88B
Total Assets Growth,-,-3.28%,1.60%,-3.59%,4.20%
