Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,308M,397M,337M,306M,348M
Cash Growth,-,28.90%,-15.11%,-9.20%,13.73%
Total Investment Assets,56.79B,57.57B,57.75B,55.95B,52.39B
Investments Growth,-,1.39%,0.30%,-3.11%,-6.36%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,3.73B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,4.62B,4.6B,4.45B,4.79B,5B
Premium Balance Growth,-,-0.52%,-3.33%,7.69%,4.37%
"Net Property, Plant & Equipment",1.07B,1.05B,1.03B,995M,970M
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),5.58B,6.22B,6.23B,5.88B,5.78B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,852M,883M,1.14B,941M,975M
Tangible Other Assets,1.91B,2.54B,2.32B,2.19B,2.08B
Intangible Assets,2.82B,2.79B,2.77B,2.75B,2.72B
Total Assets,68.52B,70.04B,70.83B,68.63B,65.68B
Assets - Total - 1 Year Growth,-,2.23%,1.13%,-3.11%,-4.30%
Return On Average Assets,-,-,-,-,3.38%
