Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,17.26B,13.23B,10.84B,10.6B,13.32B
Cash & Short Term Investments Growth,-,-23.36%,-18.05%,-2.23%,25.69%
Cash Only,11.84B,5.87B,5.29B,3.8B,5.25B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.30%,14.81%,12.70%,11.65%,13.77%
Total Accounts Receivable,11.87B,11.12B,11.03B,15.66B,17.31B
Total Accounts Receivable Growth,-,-6.32%,-0.78%,41.93%,10.50%
"Accounts Receivables, Net",9.77B,9.51B,11.03B,15.66B,17.31B
"Accounts Receivables, Gross",9.82B,9.55B,11.07B,15.7B,17.34B
Bad Debt/Doubtful Accounts,(44M),(43M),(40M),(39M),(39M)
Other Receivable,2.1B,1.61B,-,-,-
Accounts Receivable Turnover,2.49,2.91,3.20,2.43,3.11
Inventories,8.88B,9.21B,8.06B,9.48B,11.05B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,8.88B,9.21B,8.06B,9.48B,11.05B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,585M,585M,568M,648M,741M
Miscellaneous Current Assets,585M,585M,568M,648M,741M
Total Current Assets,38.59B,34.14B,30.5B,36.39B,42.41B
"Net Property, Plant & Equipment",39.5B,39.05B,38.81B,38.48B,38.34B
"Property, Plant & Equipment - Gross",61.29B,61.58B,62.01B,62.38B,63.22B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,21.8B,22.53B,23.19B,23.91B,24.88B
Total Investments and Advances,5.42B,5.38B,5.41B,5.51B,5.51B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.26B,8.26B,10.39B,8.26B,8.24B
Net Goodwill,8.26B,8.26B,8.26B,8.26B,8.24B
Net Other Intangibles,-,-,-,-,-
Other Assets,2.53B,2.46B,263M,2.32B,2.23B
Total Assets,94.3B,89.3B,85.37B,90.95B,96.74B
Total Assets Growth,-,-5.30%,-4.40%,6.53%,6.36%
