Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.28B,1.27B,1.45B,1.28B,1.35B
Cash & Short Term Investments Growth,-,-1.29%,14.21%,-11.79%,6.06%
Cash Only,1.28B,1.27B,1.45B,1.28B,1.29B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,43.34%,39.08%,41.07%,36.39%,37.99%
Total Accounts Receivable,682.24M,755.59M,768.93M,901.26M,929.22M
Total Accounts Receivable Growth,-,10.75%,1.77%,17.21%,3.10%
"Accounts Receivables, Net",682.24M,755.59M,768.93M,901.26M,929.22M
"Accounts Receivables, Gross",689.88M,761.8M,774.45M,915.49M,947.77M
Bad Debt/Doubtful Accounts,(7.65M),(6.21M),(5.52M),(14.23M),(18.55M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.29,1.31,1.44,1.30,1.29
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,72.1M,69.5M,53.43M,89M,76.64M
Miscellaneous Current Assets,72.1M,69.5M,53.43M,89M,76.64M
Total Current Assets,2.04B,2.09B,2.27B,2.27B,2.36B
"Net Property, Plant & Equipment",370.12M,369.51M,421.06M,395.15M,370.85M
"Property, Plant & Equipment - Gross",-,-,587.7M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,201.2M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,166.65M,-,-
Total Investments and Advances,28.87M,185.95M,29.73M,29.55M,29.41M
Other Long-Term Investments,28.87M,185.95M,29.73M,29.55M,29.41M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,400.61M,461.08M,631.87M,631.71M,610.3M
Net Goodwill,335.48M,386.51M,530.72M,534.14M,521.27M
Net Other Intangibles,65.13M,74.58M,-,-,-
Other Assets,27.89M,29.44M,27.17M,23.11M,20.92M
Total Assets,2.96B,3.24B,3.52B,3.51B,3.56B
Total Assets Growth,-,9.48%,8.67%,-0.44%,1.61%
