Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.72B,1.97B,3.02B,3.06B,2.42B
Cash & Short Term Investments Growth,-,-46.97%,52.94%,1.53%,-21.10%
Cash Only,2.84B,1.63B,2.67B,2.73B,2.08B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,29.21%,15.15%,21.65%,22.19%,18.31%
Total Accounts Receivable,557M,1.03B,965M,650M,579M
Total Accounts Receivable Growth,-,85.10%,-6.40%,-32.64%,-10.92%
"Accounts Receivables, Net",557M,1.03B,965M,650M,579M
"Accounts Receivables, Gross",557M,1.03B,965M,650M,579M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.82,1.79,1.84,2.79,3.02
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,401M,387M,377M,439M,522M
Miscellaneous Current Assets,325M,311M,351M,404M,444M
Total Current Assets,4.68B,3.39B,4.36B,4.15B,3.52B
"Net Property, Plant & Equipment",510M,516M,522M,864M,545M
"Property, Plant & Equipment - Gross",1.58B,1.58B,1.58B,1.94B,1.58B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,829M,821M,835M,853M,855M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.07B,1.07B,1.06B,1.07B,1.04B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.17B,6.54B,6.44B,6.35B,6.28B
Net Goodwill,4.26B,5.46B,5.39B,5.39B,5.38B
Net Other Intangibles,909M,1.08B,-,-,-
Other Assets,422M,435M,479M,193M,528M
Total Assets,12.73B,13.02B,13.93B,13.8B,13.19B
Total Assets Growth,-,2.24%,7.00%,-0.93%,-4.41%
