Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,913.2M,1.15B,1.3B,1.24B,748.7M
Cash & Short Term Investments Growth,-,26.22%,12.68%,-4.33%,-39.74%
Cash Only,913.2M,1.15B,1.3B,1.24B,748.7M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.19%,9.01%,10.13%,10.02%,6.30%
Total Accounts Receivable,883.3M,847.2M,936.6M,765.3M,872.5M
Total Accounts Receivable Growth,-,-4.09%,10.55%,-18.29%,14.01%
"Accounts Receivables, Net",852.7M,824.1M,906.8M,745.2M,831.1M
"Accounts Receivables, Gross",922.5M,889.9M,971.1M,807.1M,888.3M
Bad Debt/Doubtful Accounts,(69.8M),(65.8M),(64.3M),(61.9M),(57.2M)
Other Receivable,30.6M,23.1M,-,-,-
Accounts Receivable Turnover,2.35,2.73,2.49,3.17,2.43
Inventories,1.45B,1.42B,1.38B,1.35B,1.39B
Finished Goods,1.45B,1.42B,1.38B,1.35B,1.39B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,235.6M,333.2M,244M,297.4M,354.1M
Miscellaneous Current Assets,68.1M,176.6M,94.2M,128.4M,153.6M
Total Current Assets,3.48B,3.75B,3.86B,3.65B,3.37B
"Net Property, Plant & Equipment",2.4B,2.37B,2.33B,2.26B,2.18B
"Property, Plant & Equipment - Gross",-,-,-,4B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,1.75B,-
Total Investments and Advances,159.1M,154.7M,157.3M,165.3M,158.9M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.46B,6.32B,6.27B,6.14B,6B
Net Goodwill,2.95B,2.92B,2.89B,2.83B,2.75B
Net Other Intangibles,3.51B,3.4B,-,-,-
Other Assets,143.4M,146.4M,146.3M,140.7M,150.5M
Total Assets,12.7B,12.8B,12.82B,12.4B,11.89B
Total Assets Growth,-,0.75%,0.15%,-3.27%,-4.09%
