Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,70.3M,2.38B,258.9M,189.6M,772.1M
Cash & Short Term Investments Growth,-,"3,289.90%",-89.14%,-26.77%,307.23%
Cash Only,70.3M,2.38B,258.9M,189.6M,772.1M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.63%,17.29%,1.76%,1.33%,5.31%
Total Accounts Receivable,722M,801.9M,774M,759.2M,1.03B
Total Accounts Receivable Growth,-,11.07%,-3.48%,-1.91%,35.22%
"Accounts Receivables, Net",722M,801.9M,774M,759.2M,1.03B
"Accounts Receivables, Gross",722M,801.9M,988.3M,759.2M,1.03B
Bad Debt/Doubtful Accounts,-,-,(214.3M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.91,1.94,1.93,1.62,1.60
Inventories,729.1M,717.5M,752.6M,782.4M,835.2M
Finished Goods,676.7M,683.2M,713.3M,810.8M,859.8M
Work in Progress,30.2M,25.6M,30.1M,14.1M,9.1M
Raw Materials,210M,207.9M,223.5M,217.4M,236.3M
Progress Payments & Other,(187.8M),(199.2M),(214.3M),(259.9M),(270M)
Other Current Assets,94.9M,98.2M,240.1M,256.3M,126.4M
Miscellaneous Current Assets,94.9M,98.2M,240.1M,256.3M,126.4M
Total Current Assets,1.62B,4B,2.03B,1.99B,2.76B
"Net Property, Plant & Equipment",5.98B,6.03B,6.76B,6.62B,6.57B
"Property, Plant & Equipment - Gross",9.83B,9.95B,10.8B,10.66B,10.71B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.84B,3.93B,4.03B,4.04B,4.15B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.32B,3.4B,4.56B,4.44B,4.44B
Net Goodwill,2.6B,2.61B,3.49B,3.39B,3.4B
Net Other Intangibles,725M,787.2M,-,-,-
Other Assets,298.9M,359.4M,1.04B,1.19B,771.8M
Total Assets,11.22B,13.79B,14.74B,14.24B,14.54B
Total Assets Growth,-,22.84%,6.91%,-3.37%,2.12%
