Item,30-Apr-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,30-Apr-2022
Cash & Short Term Investments,1.03B,1.22B,1.02B,280.28M,321.31M
Cash & Short Term Investments Growth,-,18.62%,-16.49%,-72.43%,14.64%
Cash Only,975.65M,1.17B,961.13M,239.42M,263.04M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.26%,8.39%,7.03%,1.99%,2.21%
Total Accounts Receivable,359.67M,378.39M,379.28M,405.59M,439.82M
Total Accounts Receivable Growth,-,5.21%,0.23%,6.94%,8.44%
"Accounts Receivables, Net",359.67M,378.39M,379.28M,405.59M,439.82M
"Accounts Receivables, Gross",370.77M,389.79M,379.28M,405.59M,439.82M
Bad Debt/Doubtful Accounts,(11.1M),(11.4M),-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,10.15,12.99,9.67,8.31,8.79
Inventories,4.67B,4.64B,4.77B,5.03B,5.31B
Finished Goods,4.67B,4.64B,4.77B,5.03B,5.31B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,173.03M,179.76M,184.97M,186.69M,180.48M
Miscellaneous Current Assets,173.03M,179.76M,184.97M,186.69M,180.48M
Total Current Assets,6.22B,6.42B,6.35B,5.9B,6.25B
"Net Property, Plant & Equipment",7.38B,7.58B,7.58B,7.62B,7.74B
"Property, Plant & Equipment - Gross",11.23B,11.53B,11.57B,11.71B,11.9B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.86B,3.95B,4B,4.09B,4.17B
Total Investments and Advances,75.87M,67.91M,61.17M,80.12M,61.15M
Other Long-Term Investments,75.87M,67.91M,61.17M,80.12M,61.15M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,302.65M,302.65M,302.65M,302.65M,302.65M
Net Goodwill,302.65M,302.65M,302.65M,302.65M,302.65M
Net Other Intangibles,-,-,-,-,-
Other Assets,126.67M,113.69M,132.33M,128.36M,125.09M
Total Assets,14.14B,14.52B,14.46B,14.08B,14.52B
Total Assets Growth,-,2.68%,-0.38%,-2.64%,3.14%
