Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,9.95B,10.56B,10.59B,12.55B,12.07B
Cash & Short Term Investments Growth,-,6.09%,0.31%,18.43%,-3.78%
Cash Only,9.61B,10.21B,10.26B,12.21B,11.74B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.34%,16.06%,15.26%,17.89%,17.22%
Total Accounts Receivable,10.45B,10.81B,12.85B,11.54B,11.75B
Total Accounts Receivable Growth,-,3.46%,18.79%,-10.20%,1.83%
"Accounts Receivables, Net",10.45B,10.81B,12.85B,11.54B,11.75B
"Accounts Receivables, Gross",10.53B,10.94B,12.97B,11.67B,11.89B
Bad Debt/Doubtful Accounts,(80M),(128M),(128M),(136M),(145M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.24,2.14,2.16,2.11,2.10
Inventories,-,-,717M,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,717M,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.58B,1.47B,779M,1.52B,1.75B
Miscellaneous Current Assets,1.58B,1.47B,779M,1.52B,1.75B
Total Current Assets,21.99B,22.84B,24.93B,25.6B,25.57B
"Net Property, Plant & Equipment",36.2B,36.32B,37.04B,37.08B,36.92B
"Property, Plant & Equipment - Gross",66.9B,67.44B,68.37B,68.89B,69.06B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,30.7B,31.12B,31.33B,31.82B,32.14B
Total Investments and Advances,25M,24M,26M,170M,21M
Other Long-Term Investments,25M,24M,26M,170M,21M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.6B,5.56B,6.18B,6.13B,6.15B
Net Goodwill,3.36B,3.33B,3.69B,3.67B,3.68B
Net Other Intangibles,2.24B,2.22B,-,-,-
Other Assets,875M,816M,1.05B,960M,1.27B
Total Assets,64.87B,65.74B,69.41B,70.11B,70.09B
Total Assets Growth,-,1.34%,5.58%,1.02%,-0.03%
