Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.12B,7.37B,5.75B,5.91B,1.11B
Cash & Short Term Investments Growth,-,559.62%,-21.92%,2.75%,-81.19%
Cash Only,-,929M,935M,926M,930M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.13%,14.34%,10.57%,10.98%,2.19%
Total Accounts Receivable,-,-,-,1.35B,-
Total Accounts Receivable Growth,-,-,-,-,-
"Accounts Receivables, Net",-,-,-,518M,-
"Accounts Receivables, Gross",-,-,-,518M,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,-,-,-,22.91,-
Inventories,15.32B,11.26B,14.96B,13.9B,15.08B
Finished Goods,-,11.26B,14.96B,13.9B,15.08B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,1.6B,1.87B,407M,1.76B
Miscellaneous Current Assets,-,1.6B,1.87B,237M,1.76B
Total Current Assets,18.45B,20.23B,22.58B,21.57B,17.95B
"Net Property, Plant & Equipment",32.36B,29.75B,30.45B,30.74B,31.24B
"Property, Plant & Equipment - Gross",-,49.88B,51.06B,51.87B,52.53B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,2.26B,2.45B,2.51B,2.59B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,20.13B,20.6B,21.14B,21.29B
Total Investments and Advances,-,160M,116M,605M,292M
Other Long-Term Investments,-,160M,116M,605M,292M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,656M,-
Net Goodwill,-,-,-,631M,-
Net Other Intangibles,-,-,-,-,-
Other Assets,-,1.25B,1.27B,240M,1.36B
Total Assets,52.47B,51.39B,54.41B,53.81B,50.84B
Total Assets Growth,-,-2.07%,5.89%,-1.10%,-5.52%
