Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.54B,2.32B,2.27B,2.63B,3.46B
Cash & Short Term Investments Growth,-,50.81%,-2.15%,15.59%,31.70%
Cash Only,1.54B,2.32B,2.27B,2.63B,3.46B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.67%,11.02%,10.80%,12.05%,14.90%
Total Accounts Receivable,1.23B,1.6B,1.63B,2B,2.35B
Total Accounts Receivable Growth,-,30.37%,1.82%,23.12%,17.28%
"Accounts Receivables, Net",1.16B,1.5B,1.51B,1.95B,2.31B
"Accounts Receivables, Gross",1.17B,1.51B,1.51B,1.95B,2.31B
Bad Debt/Doubtful Accounts,(12M),(12M),(7M),(7M),(8M)
Other Receivable,70M,102M,-,-,-
Accounts Receivable Turnover,2.55,2.38,2.61,2.42,2.67
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,312M,309M,352M,346M,546M
Miscellaneous Current Assets,312M,309M,352M,346M,546M
Total Current Assets,3.08B,4.23B,4.25B,4.97B,6.35B
"Net Property, Plant & Equipment",15.44B,15.32B,15.24B,15.3B,15.35B
"Property, Plant & Equipment - Gross",40.57B,41.02B,41.51B,42.05B,42.61B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,25.13B,25.69B,26.26B,26.74B,27.26B
Total Investments and Advances,399M,388M,408M,447M,453M
Other Long-Term Investments,1M,-,6M,31M,30M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,753M,753M,753M,753M,753M
Net Goodwill,753M,753M,753M,753M,753M
Net Other Intangibles,-,-,-,-,-
Other Assets,396M,367M,372M,302M,288M
Total Assets,20.07B,21.06B,21.03B,21.78B,23.19B
Total Assets Growth,-,4.94%,-0.15%,3.58%,6.50%
