Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,13.04B,14.87B,12.63B,10.36B,11.62B
Cash & Short Term Investments Growth,-,14.01%,-15.09%,-17.97%,12.20%
Cash Only,9.19B,11.3B,9.68B,7.68B,8.98B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,14.46%,16.41%,13.38%,11.01%,12.47%
Total Accounts Receivable,4.04B,3.89B,3.51B,4.64B,4.49B
Total Accounts Receivable Growth,-,-3.64%,-9.69%,32.15%,-3.17%
"Accounts Receivables, Net",4.04B,3.89B,3.51B,4.64B,4.49B
"Accounts Receivables, Gross",4.56B,4.42B,4.03B,5.15B,5B
Bad Debt/Doubtful Accounts,(527M),(534M),(516M),(512M),(510M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.52,2.59,2.70,2.26,2.53
Inventories,3.28B,3.18B,3.41B,3.74B,3.62B
Finished Goods,884M,925M,982M,1.17B,1.24B
Work in Progress,-,-,-,-,-
Raw Materials,2.02B,1.91B,2.13B,2.27B,2.09B
Progress Payments & Other,373M,343M,299M,302M,296M
Other Current Assets,2.12B,2.3B,2.99B,3.42B,3.41B
Miscellaneous Current Assets,2.12B,2.3B,2.99B,3.42B,3.41B
Total Current Assets,22.48B,24.24B,22.55B,22.16B,23.14B
"Net Property, Plant & Equipment",10.55B,10.06B,11.34B,9.78B,9.46B
"Property, Plant & Equipment - Gross",19.91B,-,20.28B,18.89B,18.56B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,9.36B,-,-,9.1B,9.1B
Total Investments and Advances,21.87B,23.01B,22.03B,22.47B,21.44B
Other Long-Term Investments,3.4B,4.73B,4.44B,4.27B,3.72B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,28.91B,28.4B,34.61B,34.74B,33.89B
Net Goodwill,17.69B,17.46B,19.36B,19.6B,18.91B
Net Other Intangibles,11.21B,10.95B,-,-,-
Other Assets,4.1B,2.66B,1.7B,2.91B,3.4B
Total Assets,90.19B,90.61B,94.35B,94.06B,93.17B
Total Assets Growth,-,0.46%,4.14%,-0.31%,-0.95%
