Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,676.7M,717.85M,708.89M,808M,560.55M
Cash & Short Term Investments Growth,-,6.08%,-1.25%,13.98%,-30.63%
Cash Only,658.34M,681.87M,673.9M,773.01M,526.97M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,30.50%,32.26%,31.45%,34.03%,13.78%
Total Accounts Receivable,161.07M,151.19M,157.39M,188.31M,226.49M
Total Accounts Receivable Growth,-,-6.14%,4.10%,19.64%,20.28%
"Accounts Receivables, Net",161.07M,151.19M,157.39M,188.31M,226.49M
"Accounts Receivables, Gross",167.95M,157.62M,161.82M,192.57M,229.88M
Bad Debt/Doubtful Accounts,(6.88M),(6.43M),(4.43M),(4.26M),(3.39M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.48,2.72,2.70,2.29,2.16
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,82.28M,64.54M,82.29M,94.36M,86.44M
Miscellaneous Current Assets,52.84M,50.63M,58.45M,57.79M,55.07M
Total Current Assets,920.05M,933.58M,948.57M,1.09B,873.47M
"Net Property, Plant & Equipment",386.91M,370.44M,350.31M,321.03M,262.51M
"Property, Plant & Equipment - Gross",-,631.21M,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,136.21M,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,260.77M,-,-,-
Total Investments and Advances,-,-,1.48M,3.59M,2.6M
Other Long-Term Investments,-,-,1.48M,3.59M,2.6M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,880.42M,889.19M,922.34M,921.21M,2.89B
Net Goodwill,749.9M,754.21M,783.03M,786.17M,978.86M
Net Other Intangibles,130.52M,134.99M,-,-,-
Other Assets,31.06M,29.48M,29.55M,35.5M,35.12M
Total Assets,2.22B,2.22B,2.25B,2.37B,4.07B
Total Assets Growth,-,0.29%,1.32%,5.31%,71.37%
