Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,18.95B,15.46B,13.42B,13.44B,13.52B
Cash & Short Term Investments Growth,-,-18.42%,-13.18%,0.11%,0.62%
Cash Only,5.31B,2.16B,1.37B,1.8B,1.61B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,26.15%,22.59%,20.19%,19.93%,19.89%
Total Accounts Receivable,1.25B,1.33B,1.51B,1.54B,1.84B
Total Accounts Receivable Growth,-,6.65%,12.99%,2.13%,19.39%
"Accounts Receivables, Net",1.25B,1.33B,1.51B,1.54B,1.84B
"Accounts Receivables, Gross",1.25B,1.33B,1.54B,1.54B,1.84B
Bad Debt/Doubtful Accounts,-,-,(34M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.99,6.73,6.26,5.79,7.31
Inventories,1.79B,1.85B,1.8B,2B,2.27B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,1.79B,1.85B,1.8B,2B,2.27B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,660M,553M,615M,787M,898M
Miscellaneous Current Assets,660M,553M,615M,787M,898M
Total Current Assets,22.65B,19.2B,17.34B,17.76B,18.53B
"Net Property, Plant & Equipment",38.16B,37.6B,37.39B,37.6B,37.5B
"Property, Plant & Equipment - Gross",55.38B,55.23B,55.56B,56.07B,56.48B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,17.22B,17.63B,18.17B,18.46B,18.97B
Total Investments and Advances,-,-,239M,-,-
Other Long-Term Investments,-,-,239M,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.1B,6.09B,6.08B,6.06B,6.17B
Net Goodwill,4.09B,4.09B,4.09B,4.09B,4.09B
Net Other Intangibles,2.01B,2B,-,-,-
Other Assets,1.92B,1.97B,1.87B,1.98B,1.91B
Total Assets,72.46B,68.44B,66.47B,67.4B,67.96B
Total Assets Growth,-,-5.56%,-2.88%,1.41%,0.83%
