Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,79.2M,67M,68.7M,79.7M,83.3M
Cash & Short Term Investments Growth,-,-15.40%,2.54%,16.01%,4.52%
Cash Only,79.2M,67M,68.7M,79.7M,83.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.36%,0.30%,0.30%,0.35%,0.37%
Total Accounts Receivable,793.9M,834.4M,977.2M,914.5M,867.4M
Total Accounts Receivable Growth,-,5.10%,17.11%,-6.42%,-5.15%
"Accounts Receivables, Net",793.9M,834.4M,977.2M,914.5M,867.4M
"Accounts Receivables, Gross",797.1M,837.6M,980.2M,917.9M,871.3M
Bad Debt/Doubtful Accounts,(3.2M),(3.2M),(3M),(3.4M),(3.9M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.45,3.18,3.13,3.19,3.35
Inventories,1.73B,1.95B,1.86B,1.77B,1.94B
Finished Goods,1.24B,1.4B,1.26B,1.16B,1.31B
Work in Progress,125.1M,169M,203M,176.6M,164.8M
Raw Materials,290.7M,307.8M,313.8M,351.6M,383.2M
Progress Payments & Other,80.1M,82.7M,79.8M,80.9M,85.8M
Other Current Assets,95M,116.2M,134.7M,153.9M,143.3M
Miscellaneous Current Assets,95M,116.2M,134.7M,153.9M,143.3M
Total Current Assets,2.7B,2.97B,3.04B,2.91B,3.03B
"Net Property, Plant & Equipment",2.8B,2.65B,2.62B,2.66B,2.92B
"Property, Plant & Equipment - Gross",5.81B,5.71B,5.71B,5.73B,6.06B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.02B,3.06B,3.09B,3.08B,3.14B
Total Investments and Advances,841.8M,-,-,-,918.3M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,15.53B,15.51B,15.42B,15.41B,15.18B
Net Goodwill,11.37B,11.37B,11.33B,11.33B,11.33B
Net Other Intangibles,4.16B,4.14B,-,-,-
Other Assets,323.6M,1.41B,1.51B,1.52B,379.3M
Total Assets,22.2B,22.54B,22.59B,22.5B,22.44B
Total Assets Growth,-,1.55%,0.23%,-0.41%,-0.29%
