Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.71B,466M,601M,2.43B,483M
Cash & Short Term Investments Growth,-,-72.76%,28.97%,304.49%,-80.13%
Cash Only,1.71B,466M,601M,2.43B,483M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.19%,0.33%,0.42%,1.69%,0.34%
Total Accounts Receivable,2.58B,2.65B,2.58B,2.53B,2.78B
Total Accounts Receivable Growth,-,2.40%,-2.50%,-1.90%,9.84%
"Accounts Receivables, Net",2.58B,2.65B,2.58B,2.53B,2.78B
"Accounts Receivables, Gross",2.78B,2.83B,2.74B,2.69B,3B
Bad Debt/Doubtful Accounts,(193M),(182M),(157M),(161M),(219M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,4.96,4.97,5.12,5.22,4.89
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,388M,387M,386M,555M,476M
Miscellaneous Current Assets,388M,387M,386M,555M,476M
Total Current Assets,4.68B,3.5B,3.57B,5.52B,3.74B
"Net Property, Plant & Equipment",35.49B,35.46B,35.62B,34.17B,34.47B
"Property, Plant & Equipment - Gross",68.01B,68.8B,69.87B,69.07B,69.15B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,32.52B,33.34B,34.25B,34.9B,34.68B
Total Investments and Advances,-,-,203M,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,102.53B,102.15B,101.83B,100.61B,100.29B
Net Goodwill,29.55B,29.55B,29.56B,29.56B,29.56B
Net Other Intangibles,72.97B,72.6B,-,-,-
Other Assets,1.32B,1.39B,1.28B,3.65B,4.76B
Total Assets,144.03B,142.5B,143.39B,143.95B,143.26B
Total Assets Growth,-,-1.06%,0.63%,0.39%,-0.48%
