Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,231.16M,516.98M,258.58M,151.62M,172.85M
Cash & Short Term Investments Growth,-,123.64%,-49.98%,-41.36%,14.00%
Cash Only,231.16M,516.98M,258.58M,151.62M,172.85M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,511.59M,560.81M,777.14M,931.93M,1.05B
Short Term Receivables Growth,-,9.62%,38.57%,19.92%,12.34%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,72.97M,59.45M,109.95M,162.45M,219.73M
"Net Property, Plant & Equipments",108.11M,375.69M,631.52M,610.6M,598.39M
Other Assets (Including Intangibles),2.06B,2.26B,9.03B,9.05B,9.03B
Other Assets,73.5M,87.51M,82.39M,150.02M,146.79M
Intangible Assets,1.98B,2.17B,8.95B,8.9B,8.89B
Total Assets,21.98B,23.71B,43.14B,44.06B,44.95B
Total Assets Growth,-,7.85%,81.93%,2.14%,2.02%
Return On Average Assets,-,-,-,-,1.13%
