Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,5.82B,5.8B,3.68B,3.2B,3.32B
Cash & Short Term Investments Growth,-,-0.27%,-36.52%,-13.16%,3.67%
Cash Only,4.29B,4.47B,2.95B,2.35B,2.96B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,22.16%,21.60%,13.58%,11.65%,12.06%
Total Accounts Receivable,1.72B,1.84B,1.94B,2.07B,2B
Total Accounts Receivable Growth,-,7.15%,5.27%,6.83%,-3.15%
"Accounts Receivables, Net",1.68B,1.7B,1.88B,2.01B,1.92B
"Accounts Receivables, Gross",1.68B,1.7B,1.88B,2.01B,1.92B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,35.7M,144.2M,-,-,-
Accounts Receivable Turnover,1.52,1.54,1.55,1.42,1.59
Inventories,447.2M,453.9M,487.2M,507.5M,514M
Finished Goods,151.3M,150.7M,158.5M,173.5M,160.6M
Work in Progress,25.6M,24M,25.7M,22.3M,23M
Raw Materials,270.3M,279.2M,303M,311.7M,330.4M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,395.5M,281.2M,376.6M,474.5M,533.6M
Miscellaneous Current Assets,263.2M,161.8M,241.3M,279M,354.3M
Total Current Assets,8.38B,8.38B,6.48B,6.25B,6.37B
"Net Property, Plant & Equipment",13.04B,13.82B,13.62B,14.1B,14.13B
"Property, Plant & Equipment - Gross",27.18B,28.06B,28.1B,28.72B,28.35B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,14.15B,14.23B,14.48B,14.63B,14.22B
Total Investments and Advances,1.6B,1.74B,3.36B,3.45B,3.4B
Other Long-Term Investments,24.2M,90.5M,25.9M,21.7M,55.9M
Long-Term Note Receivables,763.8M,740.3M,724.3M,692.3M,641.9M
Intangible Assets,1.38B,1.33B,1.34B,1.33B,1.24B
Net Goodwill,931.5M,911.5M,923.3M,912.8M,866.8M
Net Other Intangibles,444M,420.7M,-,-,-
Other Assets,1.1B,749.6M,1.6B,1.64B,1.71B
Total Assets,26.25B,26.86B,27.13B,27.45B,27.49B
Total Assets Growth,-,2.31%,0.99%,1.20%,0.14%
