Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.47B,720.8M,701.4M,984.9M,1.22B
Cash & Short Term Investments Growth,-,-51.10%,-2.69%,40.42%,23.72%
Cash Only,1.47B,720.8M,701.4M,984.9M,1.22B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.00%,3.53%,3.28%,4.53%,5.45%
Total Accounts Receivable,-,-,-,-,-
Total Accounts Receivable Growth,-,-,-,-,-
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,-,-,-,-,-
Inventories,3.6B,3.67B,4.32B,4.37B,4.8B
Finished Goods,3.6B,3.67B,4.32B,4.37B,4.8B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,226.4M,259.6M,357.1M,257M,262.7M
Miscellaneous Current Assets,226.4M,259.6M,357.1M,257M,262.7M
Total Current Assets,5.3B,4.65B,5.37B,5.61B,6.28B
"Net Property, Plant & Equipment",10.54B,10.59B,10.8B,10.9B,10.88B
"Property, Plant & Equipment - Gross",15.46B,15.65B,16.01B,16.27B,16.4B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,4.92B,5.06B,5.21B,5.36B,5.53B
Total Investments and Advances,46.9M,46.9M,53.4M,53.4M,53.4M
Other Long-Term Investments,46.9M,46.9M,53.4M,53.4M,53.4M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.09B,5.09B,5.09B,5.08B,5.08B
Net Goodwill,1.99B,1.99B,1.99B,1.98B,1.98B
Net Other Intangibles,3.1B,3.1B,-,-,-
Other Assets,50M,49.8M,53.1M,51.9M,54.1M
Total Assets,21.05B,20.45B,21.39B,21.72B,22.37B
Total Assets Growth,-,-2.88%,4.62%,1.55%,2.99%
