Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,170M,203M,568M,594M,554M
Cash & Short Term Investments Growth,-,19.41%,179.80%,4.58%,-6.73%
Cash Only,170M,203M,568M,594M,554M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.34%,0.40%,1.12%,1.16%,1.08%
Total Accounts Receivable,1.16B,1.26B,1.27B,1.36B,1.47B
Total Accounts Receivable Growth,-,8.52%,1.03%,6.59%,8.32%
"Accounts Receivables, Net",1.08B,1.14B,1.15B,1.21B,1.33B
"Accounts Receivables, Gross",1.08B,1.15B,1.16B,1.21B,1.33B
Bad Debt/Doubtful Accounts,(9M),(9M),(7M),-,-
Other Receivable,87M,123M,-,-,-
Accounts Receivable Turnover,2.70,2.58,2.66,2.27,2.42
Inventories,960M,1.04B,966M,1.12B,1.32B
Finished Goods,628M,651M,577M,701M,862M
Work in Progress,6M,6M,6M,8M,5M
Raw Materials,349M,401M,402M,437M,475M
Progress Payments & Other,(23M),(20M),(19M),(27M),(23M)
Other Current Assets,324M,301M,249M,419M,427M
Miscellaneous Current Assets,238M,229M,237M,296M,321M
Total Current Assets,2.62B,2.8B,3.06B,3.49B,3.77B
"Net Property, Plant & Equipment",3.07B,3.05B,3.17B,3.25B,3.28B
"Property, Plant & Equipment - Gross",-,-,4.52B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,404M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.35B,-,-
Total Investments and Advances,169M,145M,92M,139M,216M
Other Long-Term Investments,82M,59M,62M,109M,92M
Long-Term Note Receivables,-,15M,-,-,-
Intangible Assets,44.26B,44.08B,44.04B,44.13B,43.94B
Net Goodwill,20.27B,20.19B,20.18B,20.24B,20.16B
Net Other Intangibles,23.98B,23.88B,-,-,-
Other Assets,195M,199M,202M,200M,192M
Total Assets,50.34B,50.33B,50.6B,51.24B,51.43B
Total Assets Growth,-,-0.03%,0.53%,1.28%,0.36%
