Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.55B,2.55B,3.17B,3.41B,3.24B
Cash & Short Term Investments Growth,-,-0.24%,24.41%,7.70%,-5.01%
Cash Only,2.55B,2.55B,3.17B,3.41B,3.24B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.56%,4.44%,5.50%,5.96%,5.67%
Total Accounts Receivable,17.95B,18.39B,17.33B,18.25B,18.75B
Total Accounts Receivable Growth,-,2.45%,-5.76%,5.29%,2.77%
"Accounts Receivables, Net",17.7B,18.17B,17.15B,18.11B,18.62B
"Accounts Receivables, Gross",19.02B,19.52B,18.59B,19.65B,20.29B
Bad Debt/Doubtful Accounts,(1.32B),(1.36B),(1.45B),(1.54B),(1.66B)
Other Receivable,254.07M,221.88M,-,-,-
Accounts Receivable Turnover,2.98,3.20,3.44,3.16,3.20
Inventories,16.21B,16.64B,17.66B,16.97B,17.39B
Finished Goods,15B,15.37B,16.29B,15.51B,15.82B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,1.22B,1.27B,1.36B,1.45B,1.57B
Other Current Assets,545.11M,1.23B,1.22B,784.06M,361.25M
Miscellaneous Current Assets,545.11M,1.23B,1.22B,784.06M,361.25M
Total Current Assets,37.26B,38.8B,39.38B,39.41B,39.74B
"Net Property, Plant & Equipment",2.14B,3.23B,2.13B,2.14B,2.1B
"Property, Plant & Equipment - Gross",-,5.15B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,1.92B,-,-,-
Total Investments and Advances,-,-,-,60.03M,60.1M
Other Long-Term Investments,-,-,-,60.03M,60.1M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,14.57B,14.29B,14B,13.69B,13.24B
Net Goodwill,9.13B,9.03B,8.92B,8.8B,8.63B
Net Other Intangibles,5.44B,-,-,-,-
Other Assets,1.67B,726.81M,1.8B,1.75B,1.77B
Total Assets,55.93B,57.34B,57.58B,57.31B,57.17B
Total Assets Growth,-,2.52%,0.42%,-0.47%,-0.23%
