Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,5.55B,5.68B,4.47B,5.39B,5.52B
Cash & Due from Banks Growth,-,2.23%,-21.24%,20.48%,2.49%
Investments - Total,141.93B,130.92B,122.27B,117.18B,105.79B
Investments Growth,-,-7.76%,-6.61%,-4.16%,-9.72%
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,40.15B,32.75B,26.96B,28.1B,22.77B
Net Loans,237.25B,249.82B,265.91B,269.16B,284.89B
Gross Loans - Net of Unearned Income,249.6B,261.39B,-,-,-
Commercial & Industrial Loans,44.21B,46.15B,49.66B,51.82B,56.13B
Consumer & Installment Loans,175.78B,182.14B,192.42B,194.29B,202.41B
Real Estate Mortgage Loans,29.62B,33.1B,35.26B,34.35B,37.85B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances (Reserves),(12.35B),(11.57B),(11.43B),(11.31B),(11.49B)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,5.30%,6.44%,1.22%,5.85%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",4.23B,4.2B,5.35B,4.24B,4.24B
Other Assets (Including Intangibles),32.92B,33.18B,32.63B,36.71B,38.18B
Other Assets,18.19B,18.44B,17.74B,21.83B,23.32B
Intangible Assets,14.73B,14.74B,14.89B,14.88B,14.86B
Interest Receivables,1.37B,1.42B,1.46B,1.48B,1.61B
Total Assets,423.42B,425.38B,432.38B,434.2B,440.29B
Assets - Total Growth,-,0.46%,1.65%,0.42%,1.40%
Return On Average Assets,-,-,-,-,2.88%
