Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,131.51B,133.71B,108.53B,141.83B,130.56B
Cash & Due from Banks Growth,-,1.67%,-18.83%,30.69%,-7.95%
Investments - Total,226.04B,227.33B,225.2B,217.71B,204.33B
Investments Growth,-,0.57%,-0.93%,-3.33%,-6.15%
Trading Account Securities,16.06B,18.34B,17.02B,15.17B,10.76B
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,29.76B,28.5B,29.61B,27.13B,22.94B
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,24.3B,23.22B,19.87B,22.02B,19.78B
Net Loans,63.28B,64.1B,67.59B,67.88B,69.17B
Gross Loans - Net of Unearned Income,63.55B,64.33B,-,-,-
Commercial & Industrial Loans,1.65B,1.66B,11.92B,1.84B,2.42B
Consumer & Installment Loans,-,-,-,-,-
Real Estate Mortgage Loans,23.59B,24.22B,14.53B,14.73B,15.24B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,12.97B,12.22B,10.23B,-,-
Broker & Financial Institution Loans,4.54B,4.05B,2.28B,9.23B,10.63B
Unspecified/Other Loans,20.44B,21.89B,28.09B,41.54B,40.35B
Unearned Income,-,-,-,-,-
Loan Loss Allowances (Reserves),(269M),(233M),(196M),(171M),(181M)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,1.29%,5.45%,0.43%,1.89%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",3.44B,3.42B,3.43B,3.36B,3.35B
Other Assets (Including Intangibles),40.88B,40.1B,37.84B,41.64B,43.82B
Other Assets,18.48B,17.74B,15.24B,19.09B,21.47B
Intangible Assets,22.4B,22.36B,22.6B,22.55B,22.35B
Interest Receivables,492M,464M,457M,467M,548M
Total Assets,466.96B,470.53B,444.44B,473.81B,452.62B
Assets - Total Growth,-,0.76%,-5.55%,6.61%,-4.47%
Return On Average Assets,-,-,-,-,0.82%
