Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,209M,69M,69M,357M,196M
Cash & Short Term Investments Growth,-,-66.99%,0.00%,417.39%,-45.10%
Cash Only,209M,69M,69M,357M,196M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.78%,0.59%,0.58%,2.98%,1.65%
Total Accounts Receivable,580M,595M,731M,610M,511M
Total Accounts Receivable Growth,-,2.59%,22.86%,-16.55%,-16.23%
"Accounts Receivables, Net",580M,544M,731M,610M,511M
"Accounts Receivables, Gross",580M,556M,731M,610M,511M
Bad Debt/Doubtful Accounts,-,(12M),-,-,-
Other Receivable,-,51M,-,-,-
Accounts Receivable Turnover,3.42,3.15,3.06,3.62,4.17
Inventories,860M,933M,974M,911M,1.04B
Finished Goods,542M,612M,549M,509M,663M
Work in Progress,-,-,-,-,-
Raw Materials,318M,321M,425M,402M,381M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,214M,98M,102M,102M,101M
Miscellaneous Current Assets,214M,98M,102M,102M,101M
Total Current Assets,1.86B,1.7B,1.88B,1.98B,1.85B
"Net Property, Plant & Equipment",2.55B,2.61B,2.59B,2.56B,2.56B
"Property, Plant & Equipment - Gross",-,5.72B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,3.12B,-,-,-
Total Investments and Advances,3M,-,-,-,-
Other Long-Term Investments,3M,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.23B,7.22B,7.21B,7.2B,7.19B
Net Goodwill,3.98B,3.98B,3.98B,3.98B,3.98B
Net Other Intangibles,3.25B,3.24B,-,-,-
Other Assets,83M,214M,227M,253M,250M
Total Assets,11.73B,11.73B,11.9B,11.99B,11.85B
Total Assets Growth,-,0.03%,1.41%,0.77%,-1.20%
