Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.19B,1.27B,1.03B,972M,856M
Cash & Short Term Investments Growth,-,6.62%,-19.42%,-5.17%,-11.93%
Cash Only,1.15B,1.23B,979M,926M,810M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.92%,2.04%,1.59%,1.52%,1.33%
Total Accounts Receivable,1.67B,1.68B,1.72B,1.96B,2.05B
Total Accounts Receivable Growth,-,0.78%,2.56%,13.70%,4.80%
"Accounts Receivables, Net",1.67B,1.68B,1.72B,1.96B,2.05B
"Accounts Receivables, Gross",1.68B,1.69B,1.73B,1.97B,2.06B
Bad Debt/Doubtful Accounts,(12M),(12M),(10M),(9M),(9M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,3.30,3.32,3.33,2.99,3.06
Inventories,688M,664M,621M,726M,790M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,688M,664M,621M,726M,790M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,217M,195M,183M,220M,278M
Miscellaneous Current Assets,217M,195M,183M,220M,278M
Total Current Assets,3.76B,3.81B,3.55B,3.88B,3.98B
"Net Property, Plant & Equipment",55.78B,55.99B,56.66B,56.79B,57.02B
"Property, Plant & Equipment - Gross",77.62B,78.12B,79.06B,79.32B,79.78B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,21.83B,22.13B,22.4B,22.53B,22.76B
Total Investments and Advances,2.29B,2.29B,2.25B,2.28B,2.29B
Other Long-Term Investments,2.29B,2.29B,2.25B,2.28B,2.29B
Long-Term Note Receivables,-,-,51M,50M,47M
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,237M,273M,1.02B,1.05B,1.11B
Total Assets,62.07B,62.36B,64.48B,64.05B,64.44B
Total Assets Growth,-,0.46%,3.40%,-0.67%,0.61%
