Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,3.38B,4.3B,3.39B,4.86B,5.15B
Cash Growth,-,27.41%,-21.14%,43.31%,5.94%
Total Investment Assets,14.65B,14.81B,13.97B,13.48B,13.42B
Investments Growth,-,1.10%,-5.68%,-3.49%,-0.50%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,(12.75B),-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,2.44B,1.88B,1.81B,3.17B,3.37B
Premium Balance Growth,-,-22.93%,-3.46%,74.97%,6.14%
"Net Property, Plant & Equipment",2.69B,2.9B,3.75B,3.19B,3.12B
Investment in Unconsolidated Subs.,1.24B,143M,141M,138M,174M
Other Assets (Including Intangibles),13.67B,21.28B,21.1B,21.46B,21.59B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,-,-,-,-,-
Tangible Other Assets,8.42B,7.82B,7.37B,7.67B,10.92B
Intangible Assets,5.26B,13.46B,13.73B,13.79B,10.67B
Total Assets,38.07B,45.32B,44.75B,46.31B,46.82B
Assets - Total - 1 Year Growth,-,19.04%,-1.26%,3.49%,1.11%
Return On Average Assets,-,-,-,-,7.35%
