Item,31-Mar-2021,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Cash & Short Term Investments,318M,332M,281M,339M,374M
Cash & Short Term Investments Growth,-,4.40%,-15.36%,20.64%,10.32%
Cash Only,318M,332M,281M,339M,374M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,3.48%,3.54%,3.03%,3.68%,4.08%
Total Accounts Receivable,643M,678M,748M,800M,707M
Total Accounts Receivable Growth,-,5.44%,10.32%,6.95%,-11.63%
"Accounts Receivables, Net",643M,678M,748M,747M,707M
"Accounts Receivables, Gross",661M,692M,762M,760M,707M
Bad Debt/Doubtful Accounts,(18M),(14M),(14M),(13M),-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.60,1.57,1.43,1.36,1.36
Inventories,500M,539M,532M,504M,541M
Finished Goods,303M,336M,327M,293M,-
Work in Progress,75M,76M,73M,72M,-
Raw Materials,122M,127M,132M,139M,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,235M,236M,243M,194M,264M
Miscellaneous Current Assets,235M,236M,243M,105M,264M
Total Current Assets,1.7B,1.79B,1.8B,1.84B,1.89B
"Net Property, Plant & Equipment",926M,953M,954M,966M,975M
"Property, Plant & Equipment - Gross",-,-,-,2.27B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,353M,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,1.31B,-
Total Investments and Advances,9M,1M,11M,11M,-
Other Long-Term Investments,9M,1M,11M,11M,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,6.41B,6.52B,6.4B,6.3B,6.17B
Net Goodwill,3.95B,4.03B,4B,3.98B,3.94B
Net Other Intangibles,2.46B,2.49B,2.4B,-,-
Other Assets,93M,118M,117M,97M,127M
Total Assets,9.14B,9.38B,9.29B,9.22B,9.16B
Total Assets Growth,-,2.64%,-0.96%,-0.73%,-0.65%
