Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.03B,1.13B,941M,402M,420M
Cash & Short Term Investments Growth,-,-44.50%,-16.43%,-57.28%,4.48%
Cash Only,2.03B,1.13B,941M,402M,420M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.63%,3.22%,2.71%,1.17%,1.23%
Total Accounts Receivable,3.89B,3.99B,4.16B,4.45B,4.29B
Total Accounts Receivable Growth,-,2.49%,4.33%,6.87%,-3.69%
"Accounts Receivables, Net",3.85B,3.84B,4.07B,4.4B,4.24B
"Accounts Receivables, Gross",3.88B,3.88B,4.11B,4.44B,4.28B
Bad Debt/Doubtful Accounts,(30M),(39M),(43M),(41M),(37M)
Other Receivable,49M,151M,-,-,-
Accounts Receivable Turnover,1.20,1.06,1.04,0.92,0.96
Inventories,938M,1.07B,982M,1.15B,1.25B
Finished Goods,145M,240M,141M,159M,194M
Work in Progress,292M,325M,335M,326M,403M
Raw Materials,435M,459M,506M,605M,644M
Progress Payments & Other,66M,50M,-,58M,8M
Other Current Assets,728M,435M,261M,249M,233M
Miscellaneous Current Assets,728M,435M,213M,249M,233M
Total Current Assets,7.59B,6.63B,6.35B,6.25B,6.19B
"Net Property, Plant & Equipment",2.7B,2.83B,2.87B,2.85B,2.8B
"Property, Plant & Equipment - Gross",4.57B,4.79B,4.84B,4.88B,4.88B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,500M,541M,576M,584M,577M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.88B,1.96B,1.97B,2.03B,2.08B
Total Investments and Advances,3M,1M,1M,2M,1M
Other Long-Term Investments,3M,1M,1M,2M,1M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,25.19B,25B,24.83B,24.68B,24.46B
Net Goodwill,18.23B,18.21B,18.19B,18.19B,18.14B
Net Other Intangibles,6.96B,6.8B,-,-,-
Other Assets,474M,477M,576M,569M,579M
Total Assets,36.06B,35.02B,34.71B,34.44B,34.14B
Total Assets Growth,-,-2.90%,-0.88%,-0.76%,-0.89%
