Item,01-Jan-0001,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Cash & Short Term Investments,225.3M,275.2M,317.3M,281.9M,277.8M
Cash & Short Term Investments Growth,-,22.15%,15.30%,-11.16%,-1.45%
Cash Only,224.7M,274.5M,316.7M,281.2M,277.2M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.76%,3.39%,3.95%,3.47%,3.33%
Total Accounts Receivable,946.9M,820.3M,730M,779.5M,988M
Total Accounts Receivable Growth,-,-13.37%,-11.01%,6.78%,26.75%
"Accounts Receivables, Net",-,820.3M,730M,779.5M,988M
"Accounts Receivables, Gross",-,829.6M,736.4M,785.3M,993.2M
Bad Debt/Doubtful Accounts,-,(9.3M),(6.4M),(5.8M),(5.2M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.83,1.91,1.63,1.61,1.54
Inventories,29.3M,23.2M,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,23.2M,-,-,-
Other Current Assets,-,142.6M,163.8M,205.2M,229.3M
Miscellaneous Current Assets,-,142.6M,163.8M,205.2M,229.3M
Total Current Assets,1.33B,1.26B,1.21B,1.27B,1.5B
"Net Property, Plant & Equipment",373.7M,439.2M,422.4M,414.1M,407.7M
"Property, Plant & Equipment - Gross",-,771.9M,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,332.7M,-,-,-
Total Investments and Advances,-,194M,203.3M,215M,208.2M
Other Long-Term Investments,-,194M,203.3M,215M,208.2M
Long-Term Note Receivables,118.5M,89.8M,87.1M,96.7M,122.1M
Intangible Assets,4.56B,5.15B,5.02B,4.92B,4.75B
Net Goodwill,-,3.72B,3.68B,3.66B,3.58B
Net Other Intangibles,-,1.43B,1.35B,-,-
Other Assets,-,984.5M,1.08B,1.21B,1.37B
Total Assets,8.17B,8.12B,8.03B,8.12B,8.35B
Total Assets Growth,-,-0.60%,-1.13%,1.09%,2.88%
