Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,958.21M,1.08B,668.03M,657.77M,517.64M
Cash & Short Term Investments Growth,-,12.85%,-38.22%,-1.54%,-21.30%
Cash Only,957.7M,1.08B,667.67M,657.42M,517.3M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.27%,18.10%,10.56%,10.87%,8.46%
Total Accounts Receivable,608.9M,624.85M,918.11M,722.14M,743.6M
Total Accounts Receivable Growth,-,2.62%,46.93%,-21.34%,2.97%
"Accounts Receivables, Net",563.02M,594.9M,846.78M,653.18M,696.56M
"Accounts Receivables, Gross",577.62M,609.5M,861.38M,667.78M,711.16M
Bad Debt/Doubtful Accounts,(14.6M),(14.6M),(14.6M),(14.6M),(14.6M)
Other Receivable,45.88M,29.95M,-,-,-
Accounts Receivable Turnover,0.73,0.71,0.71,0.59,0.64
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,55.26M,50.47M,52.44M,69.97M,65.99M
Miscellaneous Current Assets,55.26M,50.47M,52.44M,69.97M,65.99M
Total Current Assets,1.62B,1.76B,1.64B,1.45B,1.33B
"Net Property, Plant & Equipment",217.2M,210.73M,208.8M,214.95M,206.9M
"Property, Plant & Equipment - Gross",-,-,364.92M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,35.13M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,156.12M,-,-
Total Investments and Advances,3.08M,2.64M,2.5M,2.31M,1.71M
Other Long-Term Investments,3.08M,2.64M,2.5M,2.31M,1.71M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.8B,3.77B,4.17B,4.14B,4.34B
Net Goodwill,3.11B,3.1B,3.41B,3.4B,3.57B
Net Other Intangibles,689.4M,667.27M,-,-,-
Other Assets,225.13M,212.62M,277.18M,225.07M,224.63M
Total Assets,5.89B,5.97B,6.32B,6.05B,6.12B
Total Assets Growth,-,1.43%,5.85%,-4.29%,1.08%
