Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,19.27B,24.53B,23.36B,21.12B,20.12B
Cash & Short Term Investments Growth,-,27.33%,-4.79%,-9.56%,-4.78%
Cash Only,7.08B,9.19B,7.63B,6.74B,6.96B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,20.50%,25.16%,24.33%,22.41%,21.68%
Total Accounts Receivable,10.53B,10.15B,9.38B,11.45B,9.59B
Total Accounts Receivable Growth,-,-3.62%,-7.59%,22.15%,-16.29%
"Accounts Receivables, Net",-,5.77B,5.31B,7.46B,5.78B
"Accounts Receivables, Gross",-,5.88B,5.42B,7.53B,5.86B
Bad Debt/Doubtful Accounts,-,(109M),(114M),(70M),(78M)
Other Receivable,-,4.38B,4.07B,-,-
Accounts Receivable Turnover,1.24,1.29,1.38,1.11,1.34
Inventories,2.57B,1.56B,1.83B,2.06B,2.23B
Finished Goods,-,519M,550M,602M,542M
Work in Progress,-,54M,41M,50M,165M
Raw Materials,-,801M,1.09B,1.28B,1.41B
Progress Payments & Other,-,185M,151M,123M,110M
Other Current Assets,-,2.88B,3.02B,1.16B,4.05B
Miscellaneous Current Assets,-,2.88B,3.02B,1.16B,4.05B
Total Current Assets,36.72B,39.11B,37.59B,35.8B,35.98B
"Net Property, Plant & Equipment",2B,3.43B,3.36B,3.22B,3.07B
"Property, Plant & Equipment - Gross",-,12.01B,11.94B,11.7B,11.38B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,858M,861M,852M,834M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,8.58B,8.58B,8.48B,8.31B
Total Investments and Advances,-,3.1B,3.28B,2.6B,3.41B
Other Long-Term Investments,-,1.6B,1.58B,798M,1.51B
Long-Term Note Receivables,4.01B,4.88B,4.55B,5.48B,3.96B
Intangible Assets,40.87B,41.79B,42.15B,41.76B,41.26B
Net Goodwill,-,38.17B,38.8B,38.68B,38.45B
Net Other Intangibles,-,3.62B,3.35B,-,-
Other Assets,-,818M,862M,1.14B,841M
Total Assets,94B,97.5B,95.98B,94.26B,92.8B
Total Assets Growth,-,3.72%,-1.55%,-1.79%,-1.55%
