Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,921.3M,662.8M,549.2M,458M,497.7M
Cash & Short Term Investments Growth,-,-28.06%,-17.14%,-16.61%,8.67%
Cash Only,920.7M,662.2M,548.6M,451.6M,491.5M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,10.75%,6.02%,5.11%,4.27%,4.61%
Total Accounts Receivable,1.43B,1.42B,1.49B,1.57B,1.7B
Total Accounts Receivable Growth,-,-0.46%,4.42%,5.72%,8.25%
"Accounts Receivables, Net",1.43B,1.42B,1.49B,1.57B,1.7B
"Accounts Receivables, Gross",1.45B,1.44B,1.5B,1.59B,1.72B
Bad Debt/Doubtful Accounts,(14.9M),(13.2M),(13.7M),(14M),(15.9M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.29,1.27,1.25,1.15,1.16
Inventories,734.4M,798.1M,868.9M,931.2M,989.1M
Finished Goods,287.8M,287M,296.7M,300M,301.9M
Work in Progress,200.9M,229.3M,265.3M,293.7M,312.9M
Raw Materials,245.7M,281.8M,306.9M,337.5M,374.3M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,199.4M,178M,226.8M,323.2M,303.3M
Miscellaneous Current Assets,199.4M,178M,226.8M,323.2M,303.3M
Total Current Assets,3.29B,3.06B,3.13B,3.28B,3.49B
"Net Property, Plant & Equipment",889.8M,959.6M,954.8M,924.7M,908M
"Property, Plant & Equipment - Gross",2.63B,2.7B,2.7B,2.64B,2.63B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,522.4M,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.74B,1.74B,1.75B,1.71B,1.72B
Total Investments and Advances,1.61B,1.38B,1.38B,1.28B,1.21B
Other Long-Term Investments,1.61B,1.38B,1.38B,1.28B,1.21B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.43B,4.65B,4.62B,4.59B,4.52B
Net Goodwill,1.92B,3.63B,3.62B,3.62B,3.58B
Net Other Intangibles,512.8M,1.02B,-,-,-
Other Assets,179.6M,267.2M,288.2M,291.8M,304.2M
Total Assets,8.57B,11.01B,10.74B,10.72B,10.8B
Total Assets Growth,-,28.48%,-2.46%,-0.26%,0.79%
