Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,231.55M,235.06M,278.98M,231.17M,247.03M
Cash & Short Term Investments Growth,-,1.51%,18.68%,-17.14%,6.86%
Cash Only,199.09M,196.32M,211.85M,160.82M,172.57M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,9.85%,10.35%,12.10%,10.05%,10.76%
Total Accounts Receivable,145.39M,147.55M,152.9M,202.1M,194.55M
Total Accounts Receivable Growth,-,1.49%,3.62%,32.18%,-3.73%
"Accounts Receivables, Net",145.39M,147.55M,152.9M,202.1M,194.55M
"Accounts Receivables, Gross",146.61M,148.82M,154.23M,203.62M,194.55M
Bad Debt/Doubtful Accounts,(1.23M),(1.27M),(1.33M),(1.52M),-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.78,1.75,1.76,1.44,1.48
Inventories,116.75M,117.37M,121.86M,128.28M,141.12M
Finished Goods,61.65M,59.37M,60.23M,59.02M,-
Work in Progress,-,-,-,-,-
Raw Materials,55.1M,58M,61.62M,69.26M,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,16.92M,43.77M,36.5M,31.56M,22.86M
Miscellaneous Current Assets,16.92M,43.77M,36.5M,31.56M,22.86M
Total Current Assets,510.61M,543.75M,590.23M,593.11M,605.56M
"Net Property, Plant & Equipment",281.74M,278.53M,276.11M,281.85M,288.8M
"Property, Plant & Equipment - Gross",471.59M,474.06M,477.2M,488.6M,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,189.85M,195.53M,201.09M,206.76M,-
Total Investments and Advances,275K,-,-,-,-
Other Long-Term Investments,275K,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.46B,1.44B,1.4B,1.38B,1.35B
Net Goodwill,843.07M,840.02M,832.06M,827.62M,-
Net Other Intangibles,615.97M,596.3M,-,-,-
Other Assets,11.3M,11.59M,37.11M,45.98M,46.83M
Total Assets,2.35B,2.27B,2.3B,2.3B,2.29B
Total Assets Growth,-,-3.39%,1.53%,-0.21%,-0.22%
