Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,130.33B,130.62B,125.37B,104.69B,104.76B
Cash & Short Term Investments Growth,-,0.22%,-4.02%,-16.49%,0.06%
Cash Only,14.22B,19.17B,20.6B,12.5B,13.93B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,39.05%,38.94%,36.83%,30.38%,28.71%
Total Accounts Receivable,38.04B,27.35B,33.52B,32.61B,44.26B
Total Accounts Receivable Growth,-,-28.11%,22.56%,-2.71%,35.72%
"Accounts Receivables, Net",38.04B,27.35B,33.52B,32.61B,44.26B
"Accounts Receivables, Gross",38.79B,27.89B,34.07B,33.12B,44.89B
Bad Debt/Doubtful Accounts,(751M),(536M),(551M),(505M),(633M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.21,1.66,1.54,1.51,1.17
Inventories,2.64B,3.41B,3.02B,3.3B,3.74B
Finished Goods,1.37B,2.16B,2B,1.84B,2.52B
Work in Progress,79M,74M,73M,87M,82M
Raw Materials,1.19B,1.18B,944M,1.37B,1.14B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,13.39B,12.95B,12.28B,13.32B,16.92B
Miscellaneous Current Assets,13.39B,12.95B,12.28B,13.32B,16.92B
Total Current Assets,184.41B,174.33B,174.19B,153.92B,169.68B
"Net Property, Plant & Equipment",70.8B,75.35B,79.57B,83.21B,87.55B
"Property, Plant & Equipment - Gross",122.15B,127.82B,134.85B,141.27B,147.21B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,51.25B,-,-,-,60.63B
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,51.35B,52.47B,55.28B,58.05B,59.66B
Total Investments and Advances,6.03B,6.43B,7.02B,6.91B,6.89B
Other Long-Term Investments,6.03B,6.43B,7.02B,6.91B,6.89B
Long-Term Note Receivables,3.4B,3.4B,3.5B,3.6B,3.8B
Intangible Assets,57.51B,58.25B,58.38B,78.72B,78.82B
Net Goodwill,49.71B,50.46B,50.92B,67.37B,67.52B
Net Other Intangibles,7.8B,7.79B,-,-,-
Other Assets,4.45B,17.67B,17.73B,18.25B,4.58B
Total Assets,333.78B,335.42B,340.39B,344.61B,364.84B
Total Assets Growth,-,0.49%,1.48%,1.24%,5.87%
