Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.91B,6.62B,4.06B,4B,3.25B
Cash & Short Term Investments Growth,-,34.87%,-38.70%,-1.51%,-18.55%
Cash Only,4.75B,6.46B,3.97B,3.91B,3.18B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.65%,21.08%,14.07%,13.77%,11.56%
Total Accounts Receivable,1.14B,1.13B,1.15B,1.28B,1.3B
Total Accounts Receivable Growth,-,-0.67%,1.62%,11.36%,1.41%
"Accounts Receivables, Net",911.2M,940M,1.03B,1B,1.15B
"Accounts Receivables, Gross",911.2M,940M,1.03B,1B,1.15B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,229.6M,193.1M,-,-,-
Accounts Receivable Turnover,6.57,7.19,6.99,5.95,6.26
Inventories,1.55B,1.6B,1.64B,1.92B,2.13B
Finished Goods,479.4M,562.8M,605.5M,616.3M,669M
Work in Progress,-,-,-,-,-
Raw Materials,1.07B,1.04B,1.03B,1.3B,1.46B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,336M,401.5M,409.7M,343.3M,379.8M
Miscellaneous Current Assets,336M,401.5M,409.7M,343.3M,379.8M
Total Current Assets,7.93B,9.76B,7.26B,7.54B,7.07B
"Net Property, Plant & Equipment",14.22B,14.61B,14.6B,14.63B,14.45B
"Property, Plant & Equipment - Gross",22.54B,23.06B,23.29B,23.48B,23.42B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,8.32B,8.46B,8.69B,8.85B,8.97B
Total Investments and Advances,904.8M,634.5M,649.5M,670M,786.5M
Other Long-Term Investments,369.5M,366M,397.6M,399.2M,483.8M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.07B,4.03B,3.98B,3.9B,3.65B
Net Goodwill,3.67B,3.68B,3.68B,3.65B,3.45B
Net Other Intangibles,398M,349.9M,-,-,-
Other Assets,502.7M,494.2M,490M,469.2M,449.4M
Total Assets,29.48B,31.39B,28.83B,29.02B,28.16B
Total Assets Growth,-,6.50%,-8.15%,0.65%,-2.98%
