Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,869M,1.08B,943M,1.08B,906M
Cash & Short Term Investments Growth,-,24.63%,-12.93%,14.42%,-16.03%
Cash Only,869M,1.08B,943M,1.08B,906M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.71%,2.07%,1.68%,1.66%,1.47%
Total Accounts Receivable,5.69B,6.12B,5.77B,7.29B,8.31B
Total Accounts Receivable Growth,-,7.47%,-5.67%,26.29%,14.01%
"Accounts Receivables, Net",4.72B,5.04B,4.7B,6.03B,7.22B
"Accounts Receivables, Gross",4.81B,5.13B,4.82B,6.04B,7.37B
Bad Debt/Doubtful Accounts,(86M),(82M),(122M),(5M),(144M)
Other Receivable,971M,1.08B,-,-,-
Accounts Receivable Turnover,4.03,3.32,4.00,3.25,3.28
Inventories,11.45B,11.17B,14.48B,17.29B,14.49B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,10.5B,10.92B,10.71B,14.8B,13.95B
Miscellaneous Current Assets,10.14B,10.6B,10.34B,14.42B,13.56B
Total Current Assets,28.5B,29.29B,31.91B,40.45B,37.65B
"Net Property, Plant & Equipment",10.92B,10.85B,10.83B,10.79B,10.68B
"Property, Plant & Equipment - Gross",27.59B,27.17B,27.25B,27.35B,27.28B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,16.67B,16.31B,16.42B,16.55B,16.6B
Total Investments and Advances,5.11B,5.15B,5.29B,5.4B,5.93B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.27B,5.71B,6.75B,6.75B,6.55B
Net Goodwill,-,-,4.18B,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,1.16B,1.3B,1.37B,1.47B,1.02B
Total Assets,50.96B,52.3B,56.14B,64.87B,61.83B
Total Assets Growth,-,2.63%,7.34%,15.55%,-4.68%
