Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Total Cash & Due from Banks,30.33B,28.69B,29.22B,29.77B,29.5B
Cash & Due from Banks Growth,-,-5.40%,1.86%,1.87%,-0.91%
Investments - Total,1.79T,1.83T,1.87T,1.91T,1.76T
Investments Growth,-,2.21%,2.35%,1.95%,-7.85%
Trading Account Securities,291.73B,288.57B,247.08B,313.4B,294.03B
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,268.59B,261.93B,250.72B,302.11B,272.43B
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,-,-,-,-,-
Other Securities,-,-,-,-,-
Other Investments,286.83B,307.93B,389.72B,321.21B,257.45B
Net Loans,904.83B,914.58B,966.74B,981.04B,1.02T
Gross Loans - Net of Unearned Income,918.93B,927.74B,-,-,-
Commercial & Industrial Loans,327.28B,325.65B,352.32B,355.49B,378.61B
Consumer & Installment Loans,173.33B,177.53B,185.81B,185.88B,193.41B
Real Estate Mortgage Loans,304.4B,306.66B,312.91B,315.5B,319.34B
Lease Financing Loans,-,-,-,-,-
Foreign Loans,98.15B,102.85B,113.27B,122.27B,125.8B
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances (Reserves),(14.1B),(13.16B),(12.39B),(12.1B),(11.97B)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,1.08%,5.70%,1.48%,3.85%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",20.78B,20.78B,21.07B,21.04B,20.98B
Other Assets (Including Intangibles),270.58B,282.36B,260.14B,286.04B,276.6B
Other Assets,199.35B,211.14B,188.92B,214.92B,205.48B
Intangible Assets,71.22B,71.22B,71.22B,71.12B,71.12B
Interest Receivables,-,-,-,-,-
Total Assets,3.03T,3.09T,3.18T,3.24T,3.11T
Assets - Total Growth,-,1.83%,3.10%,1.80%,-3.91%
Return On Average Assets,-,-,-,-,1.06%
