Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,321.8M,250.5M,236.2M,234.2M,247.9M
Cash & Short Term Investments Growth,-,-22.16%,-5.71%,-0.85%,5.85%
Cash Only,321.8M,250.5M,236.2M,234.2M,247.9M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.72%,5.93%,5.49%,5.24%,5.40%
Total Accounts Receivable,908.9M,949.4M,900.2M,1.07B,1.1B
Total Accounts Receivable Growth,-,4.46%,-5.18%,19.04%,3.01%
"Accounts Receivables, Net",908.9M,949.4M,900.2M,1.07B,1.1B
"Accounts Receivables, Gross",920M,960.5M,912.2M,1.08B,1.12B
Bad Debt/Doubtful Accounts,(11.1M),(11.1M),(12M),(10.9M),(11.1M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.66,1.64,1.70,1.59,1.61
Inventories,1.33B,1.4B,1.52B,1.6B,1.67B
Finished Goods,1.33B,1.4B,1.52B,1.6B,1.67B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,146.7M,169.3M,196.6M,127.4M,135.7M
Miscellaneous Current Assets,146.7M,162.6M,188.1M,127.4M,129.2M
Total Current Assets,2.71B,2.77B,2.86B,3.03B,3.15B
"Net Property, Plant & Equipment",1.28B,1.27B,1.26B,1.25B,1.26B
"Property, Plant & Equipment - Gross",-,-,2.44B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.18B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,185.9M,183.3M,180.9M,178.3M,176.1M
Total Assets,4.17B,4.22B,4.3B,4.47B,4.59B
Total Assets Growth,-,1.34%,1.81%,3.90%,2.81%
