Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.33B,2.64B,3.02B,1.53B,1.13B
Cash & Short Term Investments Growth,-,13.51%,14.40%,-49.32%,-26.34%
Cash Only,2.24B,2.56B,2.94B,1.46B,1.04B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.90%,7.73%,8.72%,4.23%,3.13%
Total Accounts Receivable,2.71B,2.82B,3.02B,2.99B,3.15B
Total Accounts Receivable Growth,-,3.80%,7.28%,-1.03%,5.15%
"Accounts Receivables, Net",2.71B,2.82B,3.02B,2.99B,3.15B
"Accounts Receivables, Gross",2.86B,2.96B,3.19B,3.13B,3.29B
Bad Debt/Doubtful Accounts,(141M),(146M),(167M),(140M),(144M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.58,1.48,1.56,1.43,1.43
Inventories,3.43B,3.43B,3.31B,3.53B,3.75B
Finished Goods,2.51B,2.5B,2.36B,2.48B,2.64B
Work in Progress,264M,274M,264M,298M,315M
Raw Materials,658M,663M,691M,750M,790M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,562M,570M,662M,679M,804M
Miscellaneous Current Assets,562M,570M,662M,679M,804M
Total Current Assets,9.03B,9.46B,10.02B,8.73B,8.83B
"Net Property, Plant & Equipment",3.14B,3.15B,3.25B,3.28B,3.27B
"Property, Plant & Equipment - Gross",5.77B,5.84B,5.92B,6.02B,6.02B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,2.62B,2.69B,2.67B,2.74B,2.75B
Total Investments and Advances,23M,38M,66M,75M,152M
Other Long-Term Investments,23M,38M,66M,75M,152M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,18.06B,17.95B,17.76B,20.66B,20.36B
Net Goodwill,12.8B,12.89B,12.92B,15.23B,15.12B
Net Other Intangibles,5.26B,5.06B,-,-,-
Other Assets,1.69B,1.69B,1.78B,1.79B,1.8B
Total Assets,33.7B,34.15B,34.63B,36.14B,36.03B
Total Assets Growth,-,1.33%,1.42%,4.35%,-0.29%
