Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,3.27B,3.83B,3.91B,2.57B,2.74B
Cash & Short Term Investments Growth,-,16.94%,2.18%,-34.29%,6.56%
Cash Only,3.22B,3.79B,3.82B,2.46B,2.62B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,6.84%,7.94%,8.01%,5.47%,5.81%
Total Accounts Receivable,6.9B,7.03B,8.13B,7.81B,7.67B
Total Accounts Receivable Growth,-,1.77%,15.69%,-3.96%,-1.71%
"Accounts Receivables, Net",5.83B,5.91B,6.67B,6.32B,6.36B
"Accounts Receivables, Gross",5.85B,5.94B,6.7B,6.34B,6.38B
Bad Debt/Doubtful Accounts,(23.9M),(24.1M),(22.5M),(22M),(19.2M)
Other Receivable,1.07B,1.11B,-,-,-
Accounts Receivable Turnover,0.98,0.96,0.98,1.00,0.85
Inventories,3.82B,3.91B,3.89B,3.89B,3.9B
Finished Goods,-,-,761.9M,-,-
Work in Progress,-,-,2.37B,-,-
Raw Materials,-,-,717.2M,-,-
Progress Payments & Other,-,-,34.2M,-,-
Other Current Assets,3.3B,3.05B,2.53B,2.7B,2.81B
Miscellaneous Current Assets,3.3B,3.05B,2.53B,2.7B,2.81B
Total Current Assets,17.3B,17.81B,18.45B,16.96B,17.12B
"Net Property, Plant & Equipment",8.86B,8.92B,8.99B,9.1B,9.13B
"Property, Plant & Equipment - Gross",18.7B,18.88B,18.96B,19.24B,19.25B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,9.84B,9.96B,9.98B,10.14B,10.12B
Total Investments and Advances,3.68B,3.56B,3.4B,2.97B,2.98B
Other Long-Term Investments,2.95B,2.84B,2.63B,2.2B,2.25B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,11.87B,11.77B,11.58B,11.37B,11.39B
Net Goodwill,3.88B,3.88B,3.89B,3.89B,3.89B
Net Other Intangibles,7.99B,7.89B,-,-,-
Other Assets,3.43B,3.5B,3.89B,4.04B,4.08B
Total Assets,47.81B,48.19B,48.81B,46.92B,47.06B
Total Assets Growth,-,0.79%,1.28%,-3.87%,0.31%
