Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,6.43B,7.79B,8.18B,8.46B,9.61B
Cash & Short Term Investments Growth,-,21.11%,5.09%,3.34%,13.67%
Cash Only,6.43B,7.79B,8.18B,8.46B,9.61B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,14.15%,16.60%,17.04%,17.31%,19.18%
Total Accounts Receivable,1.68B,1.52B,1.74B,1.98B,1.41B
Total Accounts Receivable Growth,-,-9.30%,14.45%,13.72%,-28.72%
"Accounts Receivables, Net",1.07B,928M,1.12B,1.37B,971M
"Accounts Receivables, Gross",1.07B,928M,1.12B,1.37B,971M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,608M,594M,-,-,-
Accounts Receivable Turnover,3.33,4.07,3.41,3.21,4.38
Inventories,4.22B,4.12B,4.5B,4.45B,4.67B
Finished Goods,963M,796M,927M,931M,916M
Work in Progress,200M,184M,195M,275M,155M
Raw Materials,2.05B,2.05B,2.21B,2.02B,2.21B
Progress Payments & Other,1.01B,1.09B,1.17B,1.23B,1.39B
Other Current Assets,274M,363M,409M,412M,489M
Miscellaneous Current Assets,274M,363M,409M,412M,489M
Total Current Assets,12.6B,13.79B,14.83B,15.3B,16.18B
"Net Property, Plant & Equipment",29.84B,30.1B,30.35B,30.71B,31.2B
"Property, Plant & Equipment - Gross",-,-,77.02B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,46.67B,-,-
Total Investments and Advances,141M,133M,441M,133M,134M
Other Long-Term Investments,141M,133M,415M,133M,134M
Long-Term Note Receivables,-,-,20M,-,-
Intangible Assets,-,-,412M,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,2.86B,2.89B,1.97B,2.69B,2.6B
Total Assets,45.44B,46.92B,48.02B,48.83B,50.11B
Total Assets Growth,-,3.26%,2.36%,1.69%,2.62%
