Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.53B,1.53B,1.58B,1.27B,1.72B
Cash & Short Term Investments Growth,-,0.04%,3.31%,-19.51%,35.21%
Cash Only,1.38B,1.39B,1.43B,1.13B,1.58B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,16.41%,18.05%,18.08%,14.31%,18.70%
Total Accounts Receivable,682.65M,577.85M,568.5M,1.04B,722.99M
Total Accounts Receivable Growth,-,-15.35%,-1.62%,82.72%,-30.40%
"Accounts Receivables, Net",-,577.85M,568.5M,1.04B,722.99M
"Accounts Receivables, Gross",-,577.85M,599.18M,1.04B,722.99M
Bad Debt/Doubtful Accounts,-,-,(30.68M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.83,1.83,2.02,1.22,1.77
Inventories,219.74M,241.1M,229.02M,212.92M,213.53M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,241.1M,229.02M,212.92M,213.53M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,413.3M,428.47M,422.25M,415.68M
Miscellaneous Current Assets,-,413.3M,428.47M,422.25M,415.68M
Total Current Assets,2.9B,2.76B,2.81B,2.95B,3.07B
"Net Property, Plant & Equipment",1.06B,964.03M,965.65M,959.05M,1.08B
"Property, Plant & Equipment - Gross",-,-,1.77B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,812.16M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,804.35M,-,-
Total Investments and Advances,-,786K,18.42M,749K,714K
Other Long-Term Investments,-,786K,18.42M,749K,714K
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,4.26B,3.74B,3.85B,3.85B,3.95B
Net Goodwill,-,3.49B,3.58B,3.59B,3.62B
Net Other Intangibles,-,249.97M,-,-,-
Other Assets,-,494.21M,492.28M,511.58M,503.43M
Total Assets,9.33B,8.49B,8.75B,8.9B,9.21B
Total Assets Growth,-,-9.04%,3.14%,1.70%,3.47%
