Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.26B,4.57B,5.07B,2.34B,2.84B
Cash & Short Term Investments Growth,-,262.67%,10.97%,-53.76%,21.38%
Cash Only,1.26B,4.57B,5.07B,2.34B,2.84B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.66%,6.45%,6.94%,3.26%,3.71%
Total Accounts Receivable,3.73B,3.32B,3.53B,3.43B,3.94B
Total Accounts Receivable Growth,-,-10.82%,6.35%,-3.03%,14.89%
"Accounts Receivables, Net",-,3.32B,3.53B,2.9B,3.94B
"Accounts Receivables, Gross",-,3.32B,3.53B,2.9B,3.94B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,11.76,12.38,10.42,10.43,9.89
Inventories,26.09B,18.91B,20.58B,22.07B,25.3B
Finished Goods,-,18.91B,20.58B,22.07B,25.3B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,1.47B,1.28B,1.22B,1.79B
Miscellaneous Current Assets,-,1.47B,1.28B,1.22B,1.79B
Total Current Assets,32.94B,28.26B,30.47B,29.06B,33.87B
"Net Property, Plant & Equipment",31.38B,30.71B,30.84B,31.17B,31.15B
"Property, Plant & Equipment - Gross",-,56.01B,56.64B,57.3B,57.75B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,25.3B,25.8B,26.13B,26.6B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,7.45B,7.45B,7.45B,10.95B,7.45B
Net Goodwill,-,7.45B,7.45B,7.45B,7.45B
Net Other Intangibles,-,-,-,-,-
Other Assets,-,4.34B,4.28B,358M,4.1B
Total Assets,75.83B,70.77B,73.03B,71.88B,76.57B
Total Assets Growth,-,-6.67%,3.20%,-1.58%,6.53%
