Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,213.93M,1.7B,230.93M,239.89M,152.42M
Cash & Short Term Investments Growth,-,693.86%,-86.40%,3.88%,-36.46%
Cash Only,213.93M,1.7B,230.93M,239.89M,152.42M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.45%,15.91%,1.80%,1.84%,1.17%
Total Accounts Receivable,3.24B,3.76B,4.2B,4.33B,4.52B
Total Accounts Receivable Growth,-,16.13%,11.73%,3.05%,4.35%
"Accounts Receivables, Net",3.24B,3.76B,4.2B,4.33B,4.52B
"Accounts Receivables, Gross",3.28B,3.8B,4.25B,4.38B,4.57B
Bad Debt/Doubtful Accounts,(39.71M),(39.71M),(49.75M),(49.92M),(49.71M)
Other Receivable,400K,400K,-,-,-
Accounts Receivable Turnover,0.93,0.89,0.93,0.92,0.94
Inventories,62.15M,61.96M,84.66M,94.26M,96.31M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,217.68M,181.01M,212.81M,199.26M,251.53M
Miscellaneous Current Assets,217.68M,181.01M,212.81M,199.26M,251.53M
Total Current Assets,3.73B,5.7B,4.73B,4.87B,5.02B
"Net Property, Plant & Equipment",1.85B,1.83B,2.16B,2.21B,2.25B
"Property, Plant & Equipment - Gross",3.31B,3.32B,3.66B,3.78B,3.85B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.46B,1.48B,1.5B,1.57B,1.6B
Total Investments and Advances,213.98M,228.18M,255.65M,230.55M,187.35M
Other Long-Term Investments,153.58M,154.38M,154.45M,107.25M,66.75M
Long-Term Note Receivables,274.4M,233.9M,209.1M,258.9M,261.1M
Intangible Assets,2.54B,2.53B,5.33B,5.28B,5.16B
Net Goodwill,2.14B,2.15B,3.53B,3.59B,3.59B
Net Other Intangibles,403.93M,389M,-,-,-
Other Assets,112.44M,140.76M,167.49M,166.68M,166.67M
Total Assets,8.72B,10.68B,12.86B,13.02B,13.05B
Total Assets Growth,-,22.42%,20.42%,1.24%,0.27%
