Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,911.89M,1.05B,1.3B,1.35B,1.68B
Cash & Short Term Investments Growth,-,14.95%,23.86%,3.71%,24.74%
Cash Only,911.89M,1.05B,1.3B,971.65M,1.45B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,21.30%,22.98%,26.40%,26.21%,30.85%
Total Accounts Receivable,445.46M,500.64M,563.17M,646.06M,587.5M
Total Accounts Receivable Growth,-,12.39%,12.49%,14.72%,-9.06%
"Accounts Receivables, Net",432.02M,476.62M,558.04M,627M,581.96M
"Accounts Receivables, Gross",437.34M,482.25M,563.71M,634.04M,588.67M
Bad Debt/Doubtful Accounts,(5.32M),(5.64M),(5.66M),(7.04M),(6.71M)
Other Receivable,13.44M,24.03M,537K,-,-
Accounts Receivable Turnover,1.65,1.50,1.44,1.34,1.60
Inventories,39.23M,44.97M,48.19M,52.98M,56.99M
Finished Goods,39.23M,44.97M,48.19M,52.98M,56.99M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,16.11M,14.29M,14.05M,19.93M,19.21M
Miscellaneous Current Assets,16.11M,14.29M,14.05M,19.93M,19.21M
Total Current Assets,1.41B,1.61B,1.92B,2.07B,2.34B
"Net Property, Plant & Equipment",2.35B,2.42B,2.44B,2.5B,2.52B
"Property, Plant & Equipment - Gross",3.06B,3.15B,3.2B,3.28B,3.34B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,63.05M,66.17M,68.81M,71.84M,74.76M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,710.18M,730.77M,757.29M,786.17M,814.12M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,390.05M,401.59M,397.98M,395.64M,388.85M
Net Goodwill,347.52M,355.72M,354.06M,352.91M,348M
Net Other Intangibles,42.54M,45.87M,43.91M,-,-
Other Assets,125.97M,136.28M,155.14M,179.52M,187.81M
Total Assets,4.28B,4.56B,4.92B,5.14B,5.44B
Total Assets Growth,-,6.54%,7.82%,4.43%,5.97%
